"percentile","rank_index","lo_rank","hi_rank","n_bin","diff_emp","diff_nb"
0.01,315,1,315,315,26.6240564001707,56.8901984540184
0.02,631,316,631,316,14.9592610979907,32.7844647999576
0.03,946,632,946,315,11.9970440563731,25.271728300214
0.04,1261,947,1261,315,10.0543868352984,20.7428743375588
0.05,1577,1262,1577,316,9.53060906583897,19.4558957422492
0.06,1892,1578,1892,315,8.70108774725495,17.8213593544893
0.07,2207,1893,2207,315,7.24266689373806,14.7911407228267
0.08,2523,2208,2523,316,7.11832144798538,14.5513857848271
0.09,2838,2524,2838,315,6.93298673510978,14.71450034311
0.1,3153,2839,3153,315,6.53267655862448,13.6767115496517
0.11,3469,3154,3469,316,6.83879914076799,13.4106929097865
0.12,3784,3470,3784,315,6.12064888726374,11.8160668553993
0.13,4099,3785,4099,315,5.47857180907676,11.501908160235
0.14,4415,4100,4415,316,6.33264362871017,12.5157644283373
0.15,4730,4416,4730,315,4.92641591162535,10.7059774228313
0.16,5045,4731,5045,315,5.42637371424517,10.6740468909639
0.17,5361,5046,5361,316,4.73867510609977,9.9136783282081
0.18,5676,5362,5676,315,5.65123055927737,10.8241402915035
0.19,5991,5677,5991,315,4.68924333817386,10.229054747327
0.2,6307,5992,6307,316,4.55858333565897,9.52378846428552
0.21,6622,6308,6622,315,5.3148259406333,10.3114877498543
0.22,6937,6623,6937,315,3.61818110504876,8.56767837861955
0.23,7253,6938,7253,316,5.42728774176923,10.5524641741016
0.24,7568,7254,7568,315,5.95674745894247,11.475828952903
0.25,7884,7569,7884,316,4.69354581316968,9.32495426763314
0.26,8199,7885,8199,315,3.33744493084898,8.14656751446516
0.27,8514,8200,8514,315,5.86759288386421,10.3493181878491
0.28,8830,8515,8830,316,5.23000830478412,9.51101696736937
0.29,9145,8831,9145,315,5.10835480696706,9.7155758677753
0.3,9460,9146,9460,315,3.53001049421388,7.83584435599938
0.31,9776,9461,9776,316,4.11842228095548,8.24477668604031
0.32,10091,9777,10091,315,6.13846302484144,9.92398238936978
