"feature_id","gene","baseMean","lfc","stat","pvalue","padj","emp_p","emp_q","lfdr","hc","hbfss_thr","hbfss","std","weak","strong","hbfss_sig","hbfss_only","overlap","dir"
"20","-",3.40816797503546,0.0139162722020009,0.288636595410045,0.772859487752154,0.972139055474962,0.794125327806652,0.946606748949467,1,0.0223630001696145,1.65046993290979,0.00139317126378304,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"25","-",17.8324254236142,-0.918585093440463,-2.61878955682875,0.00882423660266145,0.170141788159442,0.0179010955444325,0.328594957760699,0.598782583788338,0.0223630001696145,1.65046993290979,1.60487874619275,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"down"
"31","Pcmt1",32.8636613859256,-0.0084915733417657,-0.0619401899285762,0.950610461991131,0.994796987877603,0.955341519875457,0.955213451640442,1,0.0223630001696145,1.65046993290979,0.000168484253867039,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"35","Pcmt1",129.840791233256,-0.202148399544625,-1.27221075562316,0.203298247127703,0.725808815877997,0.250057154147557,0.848083440706555,1,0.0223630001696145,1.65046993290979,0.121685395277992,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"37","Pcmt1",120.398866810187,-0.114001737435352,-0.741619767952142,0.458317743076188,0.896995183272069,0.502538313158759,0.918161836304924,1,0.0223630001696145,1.65046993290979,0.0340672329467931,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"38","Pcmt1",43.7013591290777,-0.203270959802045,-1.25794306738326,0.208412346770186,0.731042204494094,0.255408256936214,0.850791365192807,1,0.0223630001696145,1.65046993290979,0.120491924066954,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"89","Tab2",50.8517243806599,-0.0846259675985452,-0.55906104624261,0.576120058462244,0.934707589980862,0.613243361422923,0.931929926560846,1,0.0223630001696145,1.65046993290979,0.0179717750884424,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"90","Tab2",18.3619531103321,0.0747503765819061,0.51537539507114,0.606290722740377,0.939960119542988,0.641249250911173,0.93470871196906,1,0.0223630001696145,1.65046993290979,0.0144248140786425,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"143","Ust",15.9060741085916,0.286302483679102,1.71547459384221,0.0862582495091296,0.529372118711436,0.120909571795179,0.729680273736284,1,0.0223630001696145,1.65046993290979,0.262693785300376,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"214","LOC365036",1.66534045068912,0.054521625693341,1.67027397371633,0.0948651700475581,0.551937953680249,0.131017645648575,0.745222101103338,1,0.0223630001696145,1.65046993290979,0.0481246147450835,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"224","Sash1",45.5577952714223,-0.385580972726854,-1.97458042700563,0.048315782066468,0.399569687139463,0.0742247225935904,0.623646627851028,1,0.0223630001696145,1.65046993290979,0.435494975958608,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"304","Sash1",3.05795384405792,0.0923391689281578,1.18105942067522,0.237579118853144,0.757779346704227,0.285610602064763,0.86443061353299,1,0.0223630001696145,1.65046993290979,0.050253346564956,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"576","-",2.43549129583252,-0.0265128827333582,-0.496692255518456,0.619406084549201,0.943980455878421,0.653387399298214,0.935843828123379,1,0.0223630001696145,1.65046993290979,0.0049003561045448,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"615","-",2.8175209940279,-0.0347862218375806,-0.668193145714244,0.50401031016826,0.913105273943437,0.545766551151044,0.924152294486102,1,0.0223630001696145,1.65046993290979,0.00914853579022715,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"672","-",0.849990166984703,0.0402401246960385,1.14067846043476,0.254003753241374,0.773664916434777,0.302404039000847,0.870987924273956,1,0.0223630001696145,1.65046993290979,0.020901220250171,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"673","-",2.02103560851148,0.0599457060418039,1.11203809558609,0.26612177111165,0.780973025286063,0.314705310062538,0.875402449857284,1,0.0223630001696145,1.65046993290979,0.0300984949717649,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"708","-",10.571275303607,-0.269199623181387,-1.85190035058299,0.0640401336029007,0.460832393228978,0.0940696645833297,0.677431674401085,1,0.0223630001696145,1.65046993290979,0.276346982068467,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"774","-",3.82825745719062,0.0222777114788922,0.414481720523155,0.678521351392998,0.957339715132508,0.707857934904977,0.940486914257854,1,0.0223630001696145,1.65046993290979,0.00334285738454967,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"829","-",3.69093121903728,-0.0449629492274918,-0.677114377793351,0.498333387214009,0.910685777676641,0.540417563069009,0.923459024732747,1,0.0223630001696145,1.65046993290979,0.0120172719562257,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"833","Stxbp5",6.9573425201337,-0.0552299299929271,-0.808066678563952,0.41905219842911,0.878752542752019,0.465038084982082,0.9121422886682,1,0.0223630001696145,1.65046993290979,0.0183645856774299,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"842","Stxbp5",36.2780461568641,-0.487352110519183,-2.17884217083861,0.0293433949746323,0.316048859263399,0.0488498931960377,0.521664001412028,1,0.0223630001696145,1.65046993290979,0.638985082689246,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"845","Stxbp5",3.03788470865645,0.00433097313864768,0.0592555063415453,0.952748599602109,0.995179405540567,0.9572752664952,0.955299878761255,1,0.0223630001696145,1.65046993290979,8.21289451699955e-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"926","-",2.48916457547899,0.0885404896331725,1.38124162711601,0.167204679525397,0.685361897913513,0.211743431400847,0.825394659066422,1,0.0223630001696145,1.65046993290979,0.0596931174210273,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"964","-",6.42117836908271,-0.00422775035578294,-0.0696405124994941,0.944479790887161,0.994036993924788,0.949796563618539,0.954963761142731,1,0.0223630001696145,1.65046993290979,9.45722643298581e-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"969","LOC120098778",1.97689673754097,0.0438399493496031,0.96161468837965,0.336243190422451,0.834583206971971,0.38462866373416,0.895690871167861,1,0.0223630001696145,1.65046993290979,0.0181917532173826,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
