"feature_id","gene","baseMean","lfc","stat","pvalue","padj","emp_p","emp_q","lfdr","hc","hbfss_thr","hbfss","std","weak","strong","hbfss_sig","hbfss_only","overlap","dir"
"20","-",2.66163808149585,0.015899423648661,0.352903900518941,0.724160486551072,0.994870262861832,0.725443677592383,0.953910006827443,1,0.0338872008385749,1.46996430341307,0.00221632082746267,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"304","Sash1",3.11177302951849,0.0994937855959876,1.36161011889766,0.17332096012216,0.854955867482171,0.175414897204281,0.833459147518876,1,0.0338872008385749,1.46996430341307,0.0752106882314835,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"576","-",2.02627655642847,-0.025388057152885,-0.498444722997616,0.618170621135766,0.994870262861832,0.619874647395927,0.946480652998466,1,0.0338872008385749,1.46996430341307,0.00527300111074626,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"615","-",2.71465087464314,-0.0374970289032072,-0.782091544977434,0.434160775323311,0.972602218296425,0.436392427813827,0.925651336579828,1,0.0338872008385749,1.46996430341307,0.0135035348078745,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"672","-",0.690378726422873,0.0339727600674756,1.00087576072593,0.316886876529279,0.93357303708391,0.319238964409567,0.901066394071207,1,0.0338872008385749,1.46996430341307,0.0168465517776614,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"673","-",1.97084127092438,0.0635937093874551,1.2592396708322,0.207943776554523,0.877381342836204,0.210156855584932,0.857055253527121,1,0.0338872008385749,1.46996430341307,0.043081967852725,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"774","-",3.27195545622967,0.020395294553867,0.404462989079886,0.685872288824582,0.994870262861832,0.687314654184775,0.951477214068932,1,0.0338872008385749,1.46996430341307,0.00332125943167291,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"833","Stxbp5",6.13710734150225,-0.0457697503071118,-0.710373291004365,0.477472681428418,0.974746067128068,0.479610573729371,0.93189468225657,1,0.0338872008385749,1.46996430341307,0.0146056422692606,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"842","Stxbp5",36.0034151975852,-0.369880255475888,-1.92288022333605,0.0544950939926299,0.586187936206728,0.0556767667685956,0.61366705725958,1,0.0338872008385749,1.46996430341307,0.463950418660246,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"845","Stxbp5",2.91142199065978,-0.00739310582369768,-0.114377922148,0.908938214701293,0.996745823096044,0.909377819961659,0.962886354601441,1,0.0338872008385749,1.46996430341307,0.000305007331520446,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"964","-",5.44188645956445,0.000755116509137198,0.00888791078712525,0.992908566569864,0.999860343578411,0.992942948506063,0.965903304202989,1,0.0338872008385749,1.46996430341307,2.32251489262561e-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"969","LOC120098778",1.60996864182915,0.0416601543401,0.965075798740857,0.334506847672217,0.945145881616307,0.336855635555138,0.90575273112128,1,0.0338872008385749,1.46996430341307,0.0196867634996079,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"984","Grm1",13.1909559298173,0.209002536794535,1.38144959176752,0.167140766772124,0.847159515473201,0.169208458790652,0.828398796734564,1,0.0338872008385749,1.46996430341307,0.161261744750592,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"986","Grm1",1.07612810846077,0.0449442570787892,1.38253786616618,0.166806612105649,0.847159515473201,0.168872838175107,0.828116373431831,1,0.0338872008385749,1.46996430341307,0.0347167508168227,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"up"
"1106","-",9.43980525885973,-0.00692745796836519,-0.0853832174012356,0.931956735009201,0.996777770294882,0.932285847848794,0.963765262756825,1,0.0338872008385749,1.46996430341307,0.00021094738764879,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
"1138","Utrn",5.23388606703962,-0.00152630701267724,-0.0281434459953693,0.977547742889958,0.998781455749143,0.977656574192567,0.965388629717334,1,0.0338872008385749,1.46996430341307,1.49786809628063e-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"down"
