"index","rank","d1_here","d2_here","d1_left","d1_right"
27,27,0.00105891392373339,1.76972338810496e-09,0.00105891375092288,0.00105891729036965
933,933,0.00283402350445157,-2.08267031978955e-08,0.00283402993699644,0.00283398828359004
1494,1494,0.00170809455006532,2.49782204393399e-10,0.00170809460493172,0.00170809510449613
1548,1548,0.00170889255650176,-1.46054503980608e-09,0.0017088914373307,0.00170888851624062
2969,2969,0.00026406818335951,1.23586648768458e-10,0.000264068292617266,0.000264068539790564
3103,3103,0.000267651835263533,-2.09125453351458e-09,0.000267652458911373,0.000267648276402306
4203,4203,-0.00135928513264032,1.65018028397042e-08,-0.00135929111761922,-0.00135925811401354
5040,5040,0.000762467758540186,-2.61643631594651e-10,0.000762464912163075,0.000762464388875812
5206,5206,0.000737819635135404,2.45053797827495e-09,0.000737818460369345,0.000737823361445302
5405,5405,0.000754277376962465,-1.86545488646358e-09,0.000754274051565115,0.000754270320655343
5839,5839,0.000398179899486612,6.27721783990775e-09,0.000398177004678563,0.000398189559114243
5893,5893,0.000401818556839031,-3.47505968945776e-09,0.000401820056415155,0.000401813106295776
6422,6422,0.000101475918176451,3.507956577729e-09,0.000101474558905135,0.000101481574818291
7401,7401,0.000372793926242123,-3.21720944556308e-09,0.000372795199661036,0.000372788765242145
8549,8549,-0.00027087976668458,2.43341694800826e-09,-0.000270880026806925,-0.000270875159973029
9188,9188,0.000375060962138547,-1.40359231450763e-08,0.000375065929822125,0.000375037857975835
9531,9531,3.88019468808817e-05,3.69315761971738e-09,3.88042396442365e-05,3.8811625959476e-05
9672,9672,6.17610315636402e-05,-2.44810012916267e-09,6.17620350103028e-05,6.17571388100445e-05
9748,9748,5.72323387555308e-05,2.8019653893723e-10,5.72337016225195e-05,5.72342620155974e-05
10816,10816,0.000719092785694929,-1.97649806713824e-09,0.000719091823132255,0.000719087870136121
11527,11527,8.7742960249116e-05,7.10412107365178e-10,8.77439161255001e-05,8.77453369497149e-05
11826,11826,0.000172818794027893,-4.36191626631375e-09,0.000172820580549958,0.000172811856717426
12111,12111,0.000122653394912632,2.18256823985649e-09,0.000122652536387844,0.000122656901524324
12224,12224,0.000132994279605862,-1.35944946268841e-09,0.000132993598922802,0.000132990880023876
12892,12892,-0.00043175668821592,7.99619169293932e-09,-0.000431758611782358,-0.000431742619398972
13384,13384,-0.000154737273785519,-4.67788379891277e-09,-0.000154736074360731,-0.000154745430128329
13909,13909,-0.000459656346925122,4.0624777421261e-09,-0.000459654673272713,-0.000459646548317229
14226,14226,-0.000213650210457464,-7.5780852465471e-09,-0.000213649421563481,-0.000213664577733975
14583,14583,-0.000612685529786149,3.34333038195771e-09,-0.000612680103604288,-0.000612673416943524
15212,15212,7.49378116757998e-05,-4.74658443050802e-09,7.49382358274762e-05,7.49287426586152e-05
15423,15423,1.51818093662158e-05,2.7109662986157e-08,1.51700870889319e-05,1.52243064149042e-05
15888,15888,0.00137338313501786,-9.60336027976142e-09,0.00137338535493894,0.00137336614821838
16923,16923,-0.000541354179528524,8.4172978356581e-10,-0.000541354090590746,-0.000541352407131178
17702,17702,-6.3135939465947e-05,-2.68777315511136e-09,-6.3136649678905e-05,-6.31420252252152e-05
17891,17891,-9.04696587149854e-05,4.06226434122005e-09,-9.04649694949092e-05,-9.04568449662268e-05
18337,18337,0.000522641618086694,-2.08101247898376e-10,0.000522636599320797,0.000522636183118301
19244,19244,-0.000500953446362136,1.03469763840049e-09,-0.000500950146144935,-0.000500948076749659
20071,20071,0.000402059288551311,-4.87464909306276e-10,0.000402058282949198,0.00040205730801938
21230,21230,-0.000394259811003757,9.46609457822233e-10,-0.000394259622723379,-0.000394257729504464
21664,21664,-0.000250617168394646,-2.62342262117472e-09,-0.000250617462998803,-0.000250622709844045
22491,22491,-0.00197117071930379,6.92048967451985e-09,-0.00197116889849413,-0.00197115505751479
23381,23381,0.00163827364238797,-3.83099397078895e-09,0.00163826862780988,0.00163826096582193
24576,24576,-0.00156230693232287,1.58875035440414e-08,-0.00156231392947917,-0.00156228215447208
25471,25471,0.000489684071075791,-1.96509193358222e-09,0.0004896834205632,0.000489679490379333
26149,26149,-0.000244695956230191,1.03212132559648e-08,-0.000244700695614681,-0.000244680053188169
26591,26591,0.000156047879875635,-4.60254616411976e-09,0.000156049738316394,0.000156040533224065
27009,27009,-0.000105705235510929,1.41525216991281e-09,-0.000105704918430792,-0.000105702087926453
27619,27619,0.000350426760599448,-2.81463940162877e-09,0.000350425350180394,0.000350419720901591
28050,28050,4.68026342950229e-06,8.35563858784344e-09,4.67623837327794e-06,4.69294965045362e-06
28436,28436,0.000188511272965814,-9.12677148267637e-10,0.000188508319092199,0.000188506493737902
28759,28759,4.38174326077696e-05,2.3966349562064e-09,4.38183731599957e-05,4.38231664299081e-05
29267,29267,0.000207088282360782,-6.51913338019049e-10,0.000207088483557375,0.000207087179730699
29332,29332,0.000206391222679239,2.59335243681619e-10,0.000206391221013268,0.000206391739683755
29613,29613,0.000216112479605015,-2.06262407506928e-10,0.000216111891099871,0.000216111478575056
29847,29847,0.000190306201201455,1.74313489439082e-09,0.000190305631196964,0.000190309117466753
31747,31747,0.00280162109243995,-1.55413459721451e-09,0.00280161961234574,0.00280161650407655
