"comparison_name","dataset_name","n_features","hc_p_threshold","hbfss_threshold","n_standard_significant","n_HBFSS_significant","n_overlap_significant","n_strong_effect","n_weak_effect","evs_fixed_top_n","evs_cutoff_mode_main","evs_primary_preprocessing","shared_cutoff_rank","shared_cutoff_method","shared_cutoff_quantile","shared_selected_reason"
"RT0_ZT6","RT0_ZT6_raw_dataset",31553,0.000532546091058572,3.27364279873213,9,61,9,3,3469,5000,"matched_curvature_wave","normalized",913,"combined_local_fourier",0.971064558045194,"combined_fourier_max"
"RT0_ZT6","RT0_ZT6_leading_edge_dataset",1271,0.115904517692092,0.935899635904319,0,3,0,0,381,5000,"matched_curvature_wave","normalized",913,"combined_local_fourier",0.971064558045194,"combined_fourier_max"
"RT0_ZT6","RT0_ZT6_remainder_dataset",30282,0.0194216608556128,1.71171363387262,12,100,12,3,3219,5000,"matched_curvature_wave","normalized",913,"combined_local_fourier",0.971064558045194,"combined_fourier_max"
"RT2_ZT8","RT2_ZT8_raw_dataset",31534,0.0136775581992137,1.86399142858533,0,8,0,0,7704,5000,"matched_curvature_wave","normalized",614,"combined_local_fourier",0.980528952876261,"combined_fourier_max"
"RT2_ZT8","RT2_ZT8_leading_edge_dataset",926,0.933385805359946,0.0299388080155969,0,0,0,0,746,5000,"matched_curvature_wave","normalized",614,"combined_local_fourier",0.980528952876261,"combined_fourier_max"
"RT2_ZT8","RT2_ZT8_remainder_dataset",30608,0.0121262931708246,1.91627193627157,0,10,0,0,7024,5000,"matched_curvature_wave","normalized",614,"combined_local_fourier",0.980528952876261,"combined_fourier_max"
"RT4_ZT10","RT4_ZT10_raw_dataset",31658,0.0223630001696145,1.65046993290979,743,1100,743,41,6128,5000,"matched_curvature_wave","normalized",306,"combined_local_fourier",0.990334196727525,"combined_fourier_max"
"RT4_ZT10","RT4_ZT10_leading_edge_dataset",493,0.0493569045039046,1.30665208558399,35,39,33,2,296,5000,"matched_curvature_wave","normalized",306,"combined_local_fourier",0.990334196727525,"combined_fourier_max"
"RT4_ZT10","RT4_ZT10_remainder_dataset",31165,0.0407445434559974,1.3899305441172,695,1218,695,38,5853,5000,"matched_curvature_wave","normalized",306,"combined_local_fourier",0.990334196727525,"combined_fourier_max"
"RT8_ZT14","RT8_ZT14_raw_dataset",31580,0.0186581006283235,1.72913256898303,4,76,4,0,8714,5000,"matched_curvature_wave","normalized",928,"combined_local_fourier",0.970614312856238,"combined_fourier_max"
"RT8_ZT14","RT8_ZT14_leading_edge_dataset",1309,0.94560326590656,0.024291036502215,0,78,0,0,1066,5000,"matched_curvature_wave","normalized",928,"combined_local_fourier",0.970614312856238,"combined_fourier_max"
"RT8_ZT14","RT8_ZT14_remainder_dataset",30271,0.0188100826492383,1.72560929620777,4,79,4,0,4941,5000,"matched_curvature_wave","normalized",928,"combined_local_fourier",0.970614312856238,"combined_fourier_max"
