"percentile","center_rank","lo_rank","hi_rank","iod_local_amplitude","cv2_local_amplitude","iod_local_midpoint","cv2_local_midpoint","iod_peak_rank","iod_trough_rank","cv2_peak_rank","cv2_trough_rank","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","local_window_n","iod_local_amplitude_scaled","cv2_local_amplitude_scaled","center_distance","center_agreement"
0.005,153,1,15421,0.416612665424207,0.440779310961757,1.14772260481984,0.191056469182216,1,15421,1,15421,7711,7711,0.381379142379494,0.526063874628292,15421,0.924147969266876,0.431552472565529,0,1
0.01,305,1,15573,0.414299712200513,0.43124219143179,1.14605359143035,0.193354148153335,1,15573,1,15573,7787,7787,0.381831368555528,0.528126040542459,15573,0.917680994614556,0.411218980189218,0,1
0.015,458,1,15726,0.418949138718773,0.453543870948888,1.14143990175307,0.182272189243217,1,15726,1,15726,7863.5,7863.5,0.382317280806404,0.52858067035336,15726,0.930680705604557,0.458766987636852,0,1
0.02,611,1,15879,0.418567413194531,0.457444647017274,1.13880561494895,0.1780851533213,1,15879,1,15879,7940,7940,0.382500767512307,0.52927932225332,15879,0.929613408062983,0.467083586815356,0,1
0.025,763,1,16031,0.418309257904855,0.47931267017958,1.13618464096581,0.166399260702021,1,16031,1,16031,8016,8016,0.382398352282487,0.528992881528214,16031,0.928891610623418,0.513707022839048,0,1
0.03,916,1,16184,0.417145585100451,0.489708149877677,1.13394768663679,0.158994182326895,1,16184,1,16184,8092.5,8092.5,0.383654767135392,0.529328260966018,16184,0.925638002875289,0.535870570912991,0,1
0.035,1069,1,16337,0.415145641541388,0.496310697632756,1.13215115594721,0.152949437446598,1,16337,1,16337,8169,8169,0.384512748247165,0.529972630772988,16337,0.920046197485523,0.549947447481465,0,1
0.04,1221,1,16489,0.409015029967526,0.464025638682617,1.13214909504998,0.162754980537778,1,16489,1,16489,8245,8245,0.385191924531717,0.533469009196327,16489,0.902905120335653,0.481114505001435,0,1
0.045,1374,1,16642,0.396994925539244,0.428381673852442,1.13489334032049,0.176295912153788,1,16642,1,16642,8321.5,8321.5,0.385577675821267,0.537533604361937,16642,0.869297129538594,0.405120250671441,0,1
0.05,1527,1,16795,0.398866517529671,0.440154903386924,1.13224078165535,0.170743559352593,1,16795,1,16795,8398,8398,0.386568764489834,0.537799748518601,16795,0.874530066304278,0.430221212469367,0,1
0.055,1679,1,16947,0.403788750342165,0.451489328665085,1.12831825694586,0.165150486320864,1,16947,1,16947,8474,8474,0.387154046676306,0.539042805314515,16947,0.88829253867299,0.454386627326461,0,1
