"percentile","center_rank_trt","iod_local_amplitude_trt","cv2_local_amplitude_trt","iod_local_amplitude_scaled_trt","cv2_local_amplitude_scaled_trt","iod_center_trt","cv2_center_trt","center_rank_ctrl","iod_local_amplitude_ctrl","cv2_local_amplitude_ctrl","iod_local_amplitude_scaled_ctrl","cv2_local_amplitude_scaled_ctrl","iod_center_ctrl","cv2_center_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","composite_iod_amplitude_scaled","composite_cv2_amplitude_scaled","combined_center_distance","combined_center_agreement","regime_difference","regime_difference_scaled"
0.005,153,0.416612665424207,0.440779310961757,0.924147969266876,0.431552472565529,7711,7711,154,0.385245596313239,0.424692988602544,0.72521000440344,0.184774924256543,7773.5,7773.5,154,0.801858261737446,0.865472299564301,1.64935797367032,0.616327396822072,0,1,-0.0636140378268552,1.03303057684824
0.01,305,0.414299712200513,0.43124219143179,0.917680994614556,0.411218980189218,7787,7787,308,0.384670084446509,0.449301761625134,0.72362587578486,0.242455812953679,7850.5,7850.5,306,0.798969796647022,0.880543953056923,1.64130687039942,0.653674793142898,0,1,-0.0815741564099013,0.987632077256519
0.015,458,0.418949138718773,0.453543870948888,0.930680705604557,0.458766987636852,7863.5,7863.5,462,0.383735776639505,0.461754315882366,0.721054141262602,0.271643550003679,7927.5,7927.5,460,0.802684915358279,0.915298186831254,1.65173484686716,0.730410537640531,0,1,-0.112613271472975,0.921324309226628
0.02,611,0.418567413194531,0.457444647017274,0.929613408062983,0.467083586815356,7940,7940,616,0.382536848058941,0.490044541032337,0.717754023253047,0.337953452029046,8004.5,8004.5,614,0.801104261253471,0.947489188049611,1.64736743131603,0.805037038844402,0,1,-0.14638492679614,0.842330392471628
0.025,763,0.418309257904855,0.47931267017958,0.928891610623418,0.513707022839048,8016,8016,770,0.368508426945409,0.357325825253336,0.679140009113376,0.0268719744662168,8081.5,8081.5,766,0.786817684850263,0.836638495432915,1.60803161973679,0.540578997305265,0,1,-0.0498208105826522,1.06745262243153
0.03,916,0.417145585100451,0.489708149877677,0.925638002875289,0.535870570912991,8092.5,8092.5,924,0.380109592026827,0.345861259861839,0.711072865196407,0,8158.5,6994.5,920,0.797255177127278,0.835569409739517,1.6367108680717,0.535870570912991,582,0.00171526586620926,-0.0383142326122382,1.1008402971587
0.035,1069,0.415145641541388,0.496310697632756,0.920046197485523,0.549947447481465,8169,8169,1077,0.383471583928747,0.369330932329691,0.720326936042124,0.055010933057642,8235,8235,1073,0.798617225470136,0.865641629962447,1.64037313352765,0.604958380539107,0,1,-0.0670244044923115,1.03541475298854
0.04,1221,0.409015029967526,0.464025638682617,0.902905120335653,0.481114505001435,8245,8245,1231,0.382589841338619,0.38094858970363,0.717899890220844,0.0822417422203951,8312,8312,1226,0.791604871306145,0.844974228386247,1.6208050105565,0.56335624722183,0,1,-0.0533693570801017,1.05744876333467
0.045,1374,0.396994925539244,0.428381673852442,0.869297129538594,0.405120250671441,8321.5,8321.5,1385,0.381285299336445,0.383571805796811,0.714309065358227,0.0883903395259355,8389,8389,1380,0.778280224875689,0.811953479649253,1.58360619489682,0.493510590197377,0,1,-0.0336732547735642,1.09009560469944
0.05,1527,0.398866517529671,0.440154903386924,0.874530066304278,0.430221212469367,8398,8398,1539,0.393426692286609,0.407179440832703,0.747728928880909,0.143724645208625,8466,8466,1533,0.79229320981628,0.847334344219627,1.62225899518519,0.573945857677992,0,1,-0.0550411344033471,1.04831313750719
