"percentile","center_rank","lo_rank","hi_rank","iod_local_amplitude","cv2_local_amplitude","iod_local_midpoint","cv2_local_midpoint","iod_peak_rank","iod_trough_rank","cv2_peak_rank","cv2_trough_rank","local_window_n","iod_local_amplitude_scaled","cv2_local_amplitude_scaled"
0.005,151,75,227,0.153076626200742,0.0835896003223719,1.70681760278388,0.486778946656424,75,189,85,187,153,0.35559289463044,0.0750629807314893
0.01,302,226,378,0.0721240113393053,0.063560197575085,1.52888490306054,0.509383849022683,226,378,378,294,153,0.167542142788472,0.0570766921658713
0.015,453,377,529,0.118523414990744,0.0717907673087612,1.45861367226315,0.487693270292467,529,495,485,529,153,0.275326712275288,0.0644676964887234
0.02,604,528,680,0.0569884883559415,0.0900271548392571,1.38629697825458,0.484263919971317,602,653,603,553,153,0.132382729081889,0.0808438676934472
0.025,755,679,831,0.0940966726462971,0.131456606469813,1.33805855163754,0.485813308310616,813,773,813,698,153,0.218584045336293,0.118047277178207
0.03,906,830,982,0.0378819263453992,0.10528946924899,1.31102030110796,0.477513249212148,982,830,965,845,153,0.087998698283777,0.094549338326606
0.035,1057,981,1133,0.0624250719868334,0.133551096698293,1.25327693871011,0.389103634479973,1031,981,1093,981,153,0.145011766957822,0.119928117367134
0.04,1208,1132,1284,0.0437712747127816,0.0896562026579128,1.24402829948082,0.417824843182598,1225,1132,1132,1190,153,0.101679496491978,0.0805107547663227
0.045,1359,1283,1435,0.123684351905633,0.0820932209534687,1.22868738786778,0.394976975576968,1283,1435,1345,1435,153,0.287315430227327,0.0737192406573437
0.05,1510,1434,1586,0.101592524384148,0.0746807784500589,1.21234741603163,0.432139613505416,1552,1586,1586,1537,153,0.235996707761237,0.0670629098858014
0.055,1662,1586,1738,0.0996776511984305,0.144413536839982,1.18937551554587,0.416918752535279,1738,1702,1738,1641,153,0.231548508739223,0.129682526192012
0.06,1813,1737,1889,0.110756380282136,0.153403000631184,1.15084407348121,0.427907014874273,1889,1737,1872,1825,153,0.257284099086864,0.137755013017444
0.065,1964,1888,2040,0.0926691820402763,0.16453196500061,1.19154907744657,0.446654611723569,1917,2021,2040,1965,153,0.215268022967293,0.147748759067215
0.07,2115,2039,2191,0.0944763415953234,0.229022924791409,1.17537205883011,0.411440287477814,2172,2126,2167,2129,153,0.219466006115912,0.205661270354058
0.075,2266,2190,2342,0.113272410290669,0.144204589746196,1.15910315321218,0.432787264099539,2190,2342,2190,2315,153,0.263128769275361,0.129494892902533
0.08,2417,2341,2493,0.0959637091359453,0.31652394667637,1.13275053005341,0.401083674868563,2374,2419,2384,2493,153,0.222921120997106,0.284236685171284
0.085,2568,2492,2644,0.151621534689099,0.190382246182387,1.13692646849784,0.344383271675003,2597,2492,2529,2492,153,0.352212756098391,0.170962163016606
0.09,2719,2643,2795,0.059460725076351,0.164343572568662,1.08129737560661,0.390714542050292,2790,2685,2643,2795,153,0.138125668637332,0.147579583745946
0.095,2870,2794,2946,0.163870885215127,0.236890475162148,1.10969594426935,0.379526107435255,2822,2863,2901,2858,153,0.380667668641217,0.212726285375128
0.1,3021,2945,3097,0.268992287834147,0.320284915069495,1.04760226145296,0.466665927461111,2945,3097,2985,3029,153,0.624861865839483,0.287614013175439
0.105,3172,3096,3248,0.161523309664144,0.27421643225531,1.04685249799871,0.336154883478644,3155,3203,3248,3096,153,0.375214313636889,0.246244780346548
0.11,3323,3247,3399,0.146421367121192,0.341895933987686,1.08209299585849,0.505538097663704,3294,3399,3286,3391,153,0.340132906392202,0.307020583973576
0.115,3474,3398,3550,0.0941653626856335,0.259320109852877,1.06072656324734,0.453073591703664,3550,3486,3550,3499,153,0.218743610454274,0.232867968432727
0.12,3625,3549,3701,0.22718656024279,0.0716732878647856,1.06247180191905,0.259905463663547,3549,3583,3648,3701,153,0.52774828256226,0.0643622006231435
0.125,3776,3700,3852,0.134787463168484,0.441801952750536,1.01123037530446,0.401444783132359,3730,3840,3852,3700,153,0.313107659722792,0.396735614700294
0.13,3927,3851,4003,0.225312647380386,0.444678298589699,0.998994517947895,0.52150684214309,3896,3851,3891,4003,153,0.523395233272072,0.399318556734585
0.135,4078,4002,4154,0.09847382199479,0.253982239326895,0.966807507575615,0.360593403374783,4143,4098,4044,4002,153,0.228752045805673,0.228074591375129
0.14,4229,4153,4305,0.167896220552449,0.240269244107284,1.02544786413531,0.181225988444675,4194,4236,4305,4153,153,0.39001841460409,0.215760400471345
0.145,4380,4304,4456,0.104846166024264,0.272527206238888,0.976141964140184,0.343202646222587,4431,4330,4343,4304,153,0.243554829975023,0.244727865091148
0.15,4532,4456,4608,0.123848516844876,0.450162778586546,1.06049074839822,0.599788243263113,4608,4487,4608,4559,153,0.287696780975584,0.404243588254509
