"percentile","rank_index","lo_rank","hi_rank","n_bin","mu","variance","iod_emp","cv2_emp","iod_nb_gw","cv2_nb_gw","iod_nb_fit","cv2_nb_fit","iod_nb_final","cv2_nb_final","alpha_gene_wise","alpha_fitted","alpha_final","diff_emp","diff_nb_gw","diff_nb_fit","diff_nb_final"
0.01,315,1,315,315,8.41180732016466,96.4961260186801,12.0420233890859,1.45088180936785,31.9482245190626,3.05237762379504,10.3208968878094,1.12735253803871,20.1782942474684,2.31789658463582,2.90856908515229,1.00158582547097,2.17213151086538,10.439485003704,27.8014506526871,9.17861574670028,17.1262799164245
0.02,631,316,631,316,5.4704957247585,41.4591364063193,6.91149639196897,1.22922843475783,18.7362087588456,2.59213428436675,9.79410986220664,1.62621688896164,13.8869386778167,2.16901146015859,2.45032393468513,1.42843438055786,2.01184715524603,5.62574846834958,14.7660928056392,8.10354634805682,11.0691955443157
0.03,946,632,946,315,4.64018408970698,28.7719810572003,5.97521014002725,1.14436173199396,14.9177380115213,2.56003547458193,9.5772602920201,1.87856296711917,12.4339126936714,2.33865883338107,2.3490938936911,1.6570061312285,2.13116653268523,4.47236516350335,11.7493558267436,7.63645916510651,9.72369082149812
0.04,1261,947,1261,315,4.00217543034482,22.6253416471811,5.28418961391811,1.1694229743784,12.8110841189237,2.63852308765442,9.35875059441362,2.04977405027334,11.0781475292282,2.43862568628843,2.37377594999192,1.8163963155788,2.19233578147171,3.67940188616916,9.25545243501405,7.32216268454586,8.12274134315507
0.05,1577,1262,1577,316,3.88920267514334,20.6378090133702,4.61216517821388,1.07305319856759,13.500162975993,2.7848442370091,9.50954735685734,2.23517469272177,11.1836038213762,2.48623339523871,2.51309447174763,1.99290912576502,2.21903537111131,3.43096507592269,9.20123952193891,7.30648041179677,7.9298803638466
0.06,1892,1578,1892,315,4.33797682301872,19.7824477379194,4.35058929025502,1.00336736544058,10.7840448694625,2.24242416440127,9.51777882262219,2.0976021783718,10.0433346329435,2.25783713351848,2.01153000110151,1.82078022482741,2.06158506097142,3.30551150748018,7.83943386402414,7.21597412742317,7.61839685240686
0.07,2207,1893,2207,315,3.26628677715097,14.3318144799006,3.85974204295033,1.01395959369525,9.7320037641479,2.31965899935119,9.07366084870519,2.45085280582111,9.48216337111009,2.44199412633543,2.07427347009934,2.18332882394156,2.15822951995814,2.62359963480863,6.69284854375412,6.52360275087428,6.56773675663414
0.08,2523,2208,2523,316,3.99629923646323,13.2612878585596,3.2535465781243,0.897518953200797,9.24012351738661,2.10253836138447,9.20071554992814,2.20878241035953,9.00808840385903,2.30992515231023,1.83274744234031,1.94495346309598,2.09527570532098,2.41660907536281,6.15528279795533,6.7841069651664,6.59334974682867
0.09,2838,2524,2838,315,3.3157439561884,13.963955086835,3.42227276687467,0.990540792938493,10.4155102639186,2.47764554924039,9.22865969981306,2.5158675580873,9.75195350215035,2.51915361485216,2.15410937783492,2.18137567016571,2.21737877987847,2.60137621226925,6.61495296888693,6.44139480613855,6.15627471065931
0.1,3153,2839,3153,315,4.03828592515018,12.2089058739165,3.4849942967513,0.925730405859777,9.34320409208731,2.27428772321944,9.13227735973417,2.20758317842023,9.30731861018655,2.35298144601123,1.9141526967377,1.93872078232143,2.10279016509492,2.46962651516138,5.93520226204896,6.56274104032923,5.98624884973043
0.11,3469,3154,3469,316,3.91528266755311,13.137829329244,3.35712340851937,0.898166035377131,8.66950834751128,2.23024605028886,9.10193638095622,2.37012780213216,9.19946632465817,2.36084845627929,1.9810310372475,2.06111103090451,2.09711954913609,2.40172367754905,5.59843565826758,6.37954039021753,6.10313789587298
0.12,3784,3470,3784,315,3.55811334499012,10.8904954083827,3.27209143547493,1.05632975634723,9.51215499104317,2.45491019454621,9.11731662458073,2.81992208466779,9.57542009591441,2.71385513074,2.09154868161509,2.50644669643612,2.30717213929573,2.03197185353442,5.17343855668318,6.23707322880118,5.84998138377629
0.13,4099,3785,4099,315,4.15241775174612,14.1667101959457,3.74247518509869,0.826089461889466,8.90144205593945,1.78784427179496,9.27357875769031,2.02931199107407,9.30020223718671,1.99300265756201,1.54557071630083,1.75844620691574,1.71925885671755,2.63245604510288,5.87632594797831,6.90935144289035,6.45402431691681
0.14,4415,4100,4415,316,4.50254959097234,14.9081555614538,3.53647609530586,0.717863561775889,8.48932386237136,1.68861073751474,9.18609789259413,2.036456825289,9.07952318732934,1.85350728293083,1.47150346239846,1.81188174686365,1.59398994923508,2.7116304641341,6.32716676633948,7.12972933899319,6.5852498313245
