"feature_id","gene_symbol","rank","mu","variance","iod_emp","cv2_emp","iod_nb_gw","cv2_nb_gw","iod_nb_fit","cv2_nb_fit","iod_nb_final","cv2_nb_final","alpha_gene_wise","alpha_fitted","alpha_final","diff_emp","diff_nb_gw","diff_nb_fit","diff_nb_final"
"157795","-",1,110.928015267712,19687.9117125621,357.339788261017,6.48709338829653,890.87837196551,16.0622879427296,24.1863522688379,0.436081747567713,890.87837196551,16.0622879427296,8.0131098516484,0.200006754067434,8.0131098516484,350.852694872721,874.816084022781,23.7502705212702,874.816084022781
"112224","Mx2",1,51.3879096550527,3392.14498322347,118.931300875726,4.8570423596029,302.543089988093,11.7888146127818,20.0663700087002,0.794916558723905,302.543089988093,11.7888146127818,5.84851752105744,0.351568494028514,5.84851752105744,114.074258516123,290.754275375311,19.2714534499763,290.754275375311
"572970","-",2,172.995813125426,27826.8517850034,331.052319554933,3.96210251410263,443.489887842312,5.12733202208346,28.4812426367384,0.329428099348852,443.489887842312,5.12733202208346,2.55202643269881,0.153074471331505,2.55202643269881,327.090217040831,438.362555820228,28.1518145373895,438.362555820228
"37170","-",2,667.547635858321,156093.310990145,491.423140118294,1.54828061524749,941.819212639991,2.82174736070034,62.7026252730674,0.187878135063516,941.819212639991,2.82174736070034,1.4078683859491,0.0909337731306876,1.4078683859491,489.874859503047,938.99746527929,62.5147471380039,938.99746527929
"56517","LOC689961",3,66.1033942147027,2857.66923728089,80.3524893513521,2.31129682338169,163.649685571802,4.95307533355601,21.0846338278728,0.639679525743766,163.649685571802,4.95307533355601,2.44540673731166,0.288708833405532,2.44540673731166,78.0411925279705,158.696610238246,20.4449543021291,158.696610238246
"217083","-",3,144.442055337969,14233.549628347,190.570882273374,2.55205393077626,256.666322399141,3.55393828966361,26.5054151783541,0.367042247756002,256.666322399141,3.55393828966361,1.763103701365,0.169655680411192,1.763103701365,188.018828342598,253.112384109477,26.1383729305981,253.112384109477
"435225","Dhdds",4,47.9422757914512,2305.95825031967,98.5104009848995,4.36258086213847,258.369462479107,10.7814614681534,19.8279433171972,0.83026431599633,258.369462479107,10.7814614681534,5.34746125933431,0.37186268325577,5.34746125933431,94.147820122761,247.588001010953,18.9976790012009,247.588001010953
"312769","LOC108353239",4,62.4640679914167,2142.13167627411,74.3537739713187,2.59222456107606,203.711194880945,6.52317991972388,20.8328042530928,0.667705036052132,203.711194880945,6.52317991972388,3.22923564486167,0.301498203025789,3.22923564486167,71.7615494102426,197.188014961221,20.1650992170407,197.188014961221
"221935","RGD1566369",5,42.0759446133722,1316.26602883272,61.1199298003769,2.97459179016509,104.689825136269,4.98086083158984,19.4220122202151,0.927817521472194,63.8153503229358,3.03797041337481,2.44058276242795,0.41406110736913,1.46913755332044,58.1453380102118,99.7089643046796,18.4941946987429,60.777379909561
"379434","-",5,224.03695207171,19370.1251577691,189.193944496083,1.87571805405961,409.085824740462,3.652353296112,32.0131239599586,0.286188051551734,409.085824740462,3.652353296112,1.81704768332217,0.133965061042037,1.81704768332217,187.318226442024,405.43347144435,31.7269359084069,405.43347144435
