"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","combined_rank","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_gene_wise","iod_emp_ctrl","iod_emp_trt","cv2_emp_ctrl","cv2_emp_trt","iod_nb_ctrl","iod_nb_trt","cv2_nb_ctrl","cv2_nb_trt","diff_emp_ctrl","diff_emp_trt","diff_nb_ctrl","diff_nb_trt","gene_symbol"
"320904",0.0289211318564718,0.00392711960270419,1,15012,1,298.6,20.6,386404.8,1425.8,4.00308867130952,1294.05492297388,69.2135922330097,4.33374053239745,3.35988311810727,1196.32227725302,83.4636266289762,4.00643763313136,4.05163236062991,1289.72118244148,65.8537091149024,1192.31583961989,79.4119942683462,"-"
"299528",0.0153941223749645,0.0244356636960762,173,1,1,25.8,71.6,976.7,23724.3,9.26200433888055,37.8565891472868,331.344972067039,1.46730965687158,4.627723073562,239.959711943118,664.159510663848,9.30076402880303,9.27597081932748,36.3892794904152,326.717248993477,230.658947914315,654.88353984452,"Fbxw7"
"329429",0.0288211979228063,0.0241379204820752,2,2,2,99,302.8,14306,189657.2,7.4516974038536,144.50505050505,626.344782034346,1.45964697479849,2.06850984819797,738.718042981506,2257.37397388687,7.46179841395461,7.45499991376113,143.045403530252,624.276272186148,731.256244567551,2249.91897397311,"Mdk"
"257905",0.0265262817852913,0.0115416630089619,3,1212,3,92.6,6.6,41502.8,81.8,10,448.194384449244,12.3939393939394,4.84011214308039,1.87786960514233,927,67,10.0107991360691,10.1515151515152,443.354272306164,10.5160697887971,916.989200863931,56.8484848484848,"Adgrl1"
"112224",0.00336755061864138,0.022957077335036,17895,3,3,16,44.4,523.5,4578.3,5.84851752105744,32.71875,103.114864864865,2.044921875,2.32240686632579,94.5762803369191,260.67417793495,5.91101752105744,5.87104004357996,30.673828125,100.792457998539,88.6652628158616,254.80313789137,"Mx2"
"320902",0.0259017855930683,0.00676487320551603,4,7507,4,53.6,4.6,10361.3,60.8,6.78405233497254,193.307835820895,13.2173913043478,3.60648947427044,2.87334593572779,364.625205154528,32.2066407408737,6.80270905139045,7.00144363932036,189.701346346625,10.34404536862,357.822496103138,25.2051971015533,"LOC108352829"
"217083",0.000566286154497606,0.0225132910190164,29009,4,4,75,94.4,592,24397.3,1.763103701365,7.89333333333333,258.445974576271,0.105244444444444,2.73777515440965,133.232777602375,167.436989408856,1.77643703469833,1.77369692170398,7.78808888888889,255.708199421862,131.456340567676,165.663292487152,"-"
"190379",0.0236246879901466,0.0124201435596308,5,811,5,192.6,43.6,132047.3,2052.8,2.81416206804552,685.603842159917,47.0825688073394,3.55972919086146,1.079875431361,543.007614305568,123.697466166785,2.81935417604137,2.83709784786204,682.044112969055,46.0026933759785,540.188260129526,120.860368318923,"Vwa8"
"157795",0.00464952157934902,0.0222171210947197,12501,5,5,54.6,71.8,5622.8,24712.7,8.0131098516484,102.981684981685,344.188022284123,1.88611144655101,4.79370504573987,438.515797900002,576.341287348355,8.03142486996341,8.02703742825007,101.095573535134,339.394317238383,430.484373030039,568.314249920105,"-"
"485900",0.0221666534158666,0.0105087373903104,6,1920,6,39.6,19.2,1902.3,446.7,3.14319324978886,48.0378787878788,23.265625,1.21307774716866,1.21175130208333,125.470452691639,61.3493103959461,3.16844577504139,3.19527658312219,46.8248010407101,22.0538736979167,122.302006916597,58.1540338128239,"Smarcc2"
"534198",0.00163623675069539,0.02213448291226,25245,6,6,19.8,33.6,762.2,5644.8,10,38.4949494949495,168,1.94418936843179,5,199,337,10.0505050505051,10.0297619047619,36.5507601265177,163,188.949494949495,326.970238095238,"-"
"386526",0.0219003785552403,0.0101452315943579,7,2240,7,28.8,11.2,1153.7,347.7,6.85469268148985,40.0590277777778,31.0446428571429,1.39093846450617,2.7718431122449,198.415149226908,77.7725580326863,6.88941490371207,6.94397839577557,38.6680893132716,28.272799744898,191.525734323196,70.8285796369108,"LOC120102252"
"312769",0.00206772007552361,0.0221174049295219,23519,7,7,36.2,35.2,379.2,3163.7,3.22923564486167,10.475138121547,89.8778409090909,0.289368456396325,2.55334775309917,117.898330343992,114.669094699131,3.25685995425393,3.25764473577076,10.1857696651506,87.3244931559917,114.641470389738,111.41144996336,"LOC108353239"
"58773",0.0213545137851843,0.00104663920393244,8,25578,8,21.4,24.2,882.8,724.7,3.06495230007928,41.2523364485981,29.9462809917355,1.92767927329898,1.23744962775767,66.5899792216966,75.1718456619186,3.1116812720419,3.10627461412887,39.3246571752992,28.7088313639779,63.4782979496547,72.0655710477897,"Pgm5"
