"percentile","center_rank","lo_rank","hi_rank","iod_local_amplitude","cv2_local_amplitude","iod_local_midpoint","cv2_local_midpoint","iod_peak_rank","iod_trough_rank","cv2_peak_rank","cv2_trough_rank","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","local_window_n","iod_local_amplitude_scaled","cv2_local_amplitude_scaled","center_distance","center_agreement"
0.005,157,1,15860,0.338486658505114,0.249633276139629,1.01083668708044,-0.125639110830876,1,15860,1,15860,7930.5,7930.5,0.451224154397184,0.462480962298132,15860,0.932429005675699,0.0246689583140744,0,1
0.01,314,1,16017,0.345839304730447,0.267012528486332,1.00402500678387,-0.135301256268895,1,16017,1,16017,8009,8009,0.45115119862563,0.463662918718474,16017,0.965460678504014,0.066417106667781,0,1
0.015,471,1,16174,0.338487949264859,0.253774998734183,1.00314948274476,-0.13243715242722,1,16174,1,16174,8087.5,8087.5,0.45151878073281,0.466467738700082,16174,0.932434804397997,0.0346181348302984,0,1
0.02,628,1,16331,0.334033128949914,0.246319222439833,1.00129208594441,-0.131700515628064,1,16331,1,16331,8166,8166,0.451792183237611,0.469000671100937,16331,0.912421578867681,0.0167079941280925,0,1
0.025,785,1,16488,0.328652502884798,0.266629175571168,1.00011733667579,-0.142028531796375,1,16488,1,16488,8244.5,8244.5,0.452712114911077,0.46999840647929,16488,0.888249182379729,0.0654962227278507,0,1
0.03,942,1,16645,0.321836959068246,0.254219918412604,0.999720091810915,-0.139497761048537,1,16645,1,16645,8323,8323,0.452467045813749,0.473183076561723,16645,0.857630435523702,0.0356869134157993,0,1
0.035,1099,1,16802,0.333176392239169,0.25581008526988,0.991928819854211,-0.142217015790568,1,16802,1,16802,8401.5,8401.5,0.452456675257009,0.474883763179675,16802,0.908572699721038,0.0395067855564632,0,1
0.04,1256,1,16959,0.332224628540259,0.241121324079527,0.988946750257941,-0.138105479311614,1,16959,1,16959,8480,8480,0.452547062725992,0.477845426565218,16959,0.904296912997621,0.00422168991059724,0,1
0.045,1413,1,17116,0.328742662750652,0.257296370341851,0.987011450213858,-0.146499009863262,1,17116,1,17116,8558.5,8558.5,0.452965083788218,0.479427585044834,17116,0.888654224469321,0.0430771146156597,0,1
0.05,1570,1,17273,0.327633441136633,0.262183038722719,0.984294630866626,-0.150678363537672,1,17273,1,17273,8637,8637,0.453867569825573,0.481614453246983,17273,0.883671059996895,0.0548157873991612,0,1
0.055,1727,1,17430,0.323734124420065,0.263173348290403,0.982873098294868,-0.153255880876734,1,17430,1,17430,8715.5,8715.5,0.453701782844378,0.48348794896149,17430,0.866153427557046,0.0571946924247045,0,1
0.06,1884,1,17587,0.315571188199583,0.239363885314478,0.983191408465638,-0.145622629208183,1,17587,1,17587,8794,8794,0.453498302299383,0.487983024963391,17587,0.829481536881232,0,0,1
0.065,2041,1,17744,0.322850865719667,0.244355253583319,0.977410271028259,-0.149112642475348,1,17744,1,17744,8872.5,8872.5,0.453497572641767,0.489822267573105,17744,0.862185398697748,0.0119901810974674,0,1
0.07,2198,1,17901,0.325109502526738,0.244434507846792,0.973466703604873,-0.150763001401312,1,17901,1,17901,8951,8951,0.453212941755024,0.49208792483493,17901,0.872332296802556,0.0121805643592506,0,1
0.075,2355,1,18058,0.32029373707919,0.251002866204729,0.972467249814466,-0.154692072510894,1,18058,1,18058,9029.5,9029.5,0.454264680359688,0.493962423212486,18058,0.850697529698816,0.0279589645859732,0,1
0.08,2512,1,18215,0.324049679907433,0.240802465282115,0.968011151635624,-0.152272413709208,1,18215,1,18215,9108,9108,0.453973863033045,0.4963736577509,18215,0.867571056706943,0.00345573265808184,0,1
0.085,2670,1,18373,0.319229557168035,0.240571311157176,0.966934476178041,-0.153497882746142,1,18373,1,18373,9187,9187,0.454167792801017,0.498806823621193,18373,0.845916714523101,0.00290045809804988,0,1
0.09,2827,1,18530,0.313221845664388,0.251597221259469,0.966617900119818,-0.159138909313187,1,18530,1,18530,9265.5,9265.5,0.454049537482281,0.500757087147984,18530,0.818927144407292,0.0293867143248605,0,1
0.095,2984,1,18687,0.320991167403353,0.270194958404256,0.960707776251429,-0.168267561531271,1,18687,1,18687,9344,9344,0.453748625537977,0.501789712031464,18687,0.853830726861073,0.0740618864136707,0,1
