"feature_id","gene_symbol","rank","abs_loading","mu","alpha","alpha_mu","log_alpha_mu","log_mu","log_alpha"
"299528","Fbxw7",1,0.0244356636960762,71.6,9.26200433888055,663.159510663848,6.49701555048549,4.2710950739666,2.22592047651889
"329429","Mdk",2,0.0241379204820752,302.8,7.4516974038536,2256.37397388687,7.72151436744673,5.71307252156329,2.00844184588344
"112224","Mx2",3,0.022957077335036,44.4,5.84851752105744,259.67417793495,5.55942768336303,3.79323946943818,1.76618821392485
"217083","-",4,0.0225132910190164,94.4,1.763103701365,166.436989408856,5.1146167958044,4.54754107315146,0.567075722652947
"157795","-",5,0.0222171210947197,71.8,8.0131098516484,575.341287348355,6.35496340793478,4.27388447605418,2.0810789318806
"534198","-",6,0.02213448291226,33.6,10,336,5.8171111599632,3.51452606696916,2.30258509299405
"312769","LOC108353239",7,0.0221174049295219,35.2,3.22923564486167,113.669094699131,4.73329154937668,3.56104608260405,1.17224546677263
"167027","RGD1563570",8,0.0217314931837887,28,6.55124461464553,183.434849210075,5.21185955927446,3.3322045101752,1.87965504909926
"481724","Kdelr3",9,0.0209922129039109,23.8,10,238,5.47227067367148,3.16968558067743,2.30258509299405
"10226","LOC108349721",10,0.020763131823435,28.4,6.74461275729693,191.547002307233,5.25513322136214,3.34638914516716,1.90874407619498
"178462","Nefm",11,0.0205875432532672,40.4,5.01681327570486,202.679256338476,5.31162471145985,3.6988297849671,1.61279492649275
"11310","Prmt1",12,0.0205602847343284,93,2.34115520091554,217.727433685145,5.38324397631009,4.53259949315326,0.850644483156832
"457865","-",13,0.0205107871917328,23,10,230,5.4380793089232,3.13549421592915,2.30258509299405
"124536","Pnpla6",14,0.0204341304787998,22.4,2.92065514308195,65.4226752050356,4.18086891404449,3.10906095886099,1.0718079551835
"379434","-",15,0.0204155229275927,113.6,1.81704768332217,206.416616825399,5.32989653824182,4.73268350628705,0.597213031954766
"266648","-",16,0.0203894145220058,26.4,4.27628914166309,112.894033339905,4.72644962068824,3.27336401015227,1.45308561053597
"531328","Mobp",17,0.0203593751928035,22.2,10,222,5.40267738187228,3.10009228887823,2.30258509299405
"205134","Ccdc124",18,0.0203498608003201,29,7.33028619861096,212.578299759718,5.35931038995377,3.36729582998647,1.99201455996729
"419024","Camta1",19,0.0199884621557347,26,1.82290134659994,47.3954350115983,3.85852591629095,3.25809653802148,0.600429378269471
"492548","Lrig3",20,0.0198721751884017,21.2,2.12305134513604,45.008688516884,3.80685554928611,3.05400118167797,0.752854367608143
"38928","Sult2a6",21,0.0197048606532228,22,2.01584005784992,44.3484812726983,3.79207846403617,3.09104245335832,0.701036010677858
"200263","Tex15",22,0.0196743202421538,30.2,3.24208903899902,97.9110889777704,4.58405981153649,3.40784192438082,1.17621788715566
"351506","Map1a",23,0.0195556923357542,51.6,3.77887022925769,194.989703829697,5.27294675629638,3.94352167248752,1.32942508380886
"287107","Ndufs6",24,0.0194869056457073,89.4,1.07003069549386,95.6607441771511,4.56080801761925,4.49312068217947,0.0676873354397796
