"comparison_name","selected_reason","crossing_id","crossing_rank","rank_cutoff","n_total","leading_edge_union_n","remainder_union_n"
"RT0_ZT6","last_local_amplitude_crossing_before_divergence","crossing_3685",29724,29724,31553,31513,40
"RT2_ZT8","last_local_amplitude_crossing_before_divergence","crossing_2847",29705,29705,31534,31475,59
"RT4_ZT10","last_local_amplitude_crossing_before_divergence","crossing_6124",30550,30550,31658,31654,4
"RT8_ZT14","last_local_amplitude_crossing_before_divergence","crossing_5007",30616,30616,31580,31573,7
