"percentile","center_rank","lo_rank","hi_rank","iod_local_amplitude","cv2_local_amplitude","iod_local_midpoint","cv2_local_midpoint","iod_peak_rank","iod_trough_rank","cv2_peak_rank","cv2_trough_rank","local_window_n","iod_local_amplitude_scaled","cv2_local_amplitude_scaled"
0.01,310,1,2171,0.355219579892048,0.182388633300065,1.38824508921449,0.385624341000337,1,2171,1,2171,2171,0.877115586954855,0.26353448514869
0.02,620,1,2481,0.366605005403656,0.132771164340429,1.37213378606666,0.402986643895397,1,2481,1,2481,2481,0.90640019767472,0.175907913087507
0.03,930,1,2791,0.402995230545111,0.154729442887723,1.33694912540738,0.398007833120423,1,2791,1,2791,2791,1,0.214687172042237
0.04,1241,1,3102,0.397533654407225,0.190908867134412,1.31361577975172,0.369345807428862,1,3102,1,3102,3102,0.985952204337745,0.278581582465784
0.05,1551,1,3412,0.383170545378918,0.186311388871604,1.3042639240371,0.359373069310056,1,3412,1,3412,3412,0.94900865258449,0.270462239243674
0.06,1861,1,3722,0.395703527541286,0.1799958839356,1.29073828873744,0.349463418381005,1,3722,1,3722,3722,0.981244909666822,0.259308787445725
0.07,2171,310,4032,0.222010849994863,0.137256532013553,1.19095959765636,0.319151027788761,310,4032,310,4032,3723,0.534487566987633,0.183829264213855
0.08,2481,620,4342,0.161637204533449,0.125593632422879,1.13737638758576,0.285955798394201,620,4342,620,4342,3723,0.379199676932579,0.163232084775784
0.09,2791,930,4652,0.168029777665267,0.161247217125891,1.10175352688485,0.263274563952181,930,4652,930,4652,3723,0.395642102863231,0.226197840077802
0.1,3102,1241,4963,0.130325637077267,0.103107039190733,1.06485702988834,0.259484876440521,1241,4963,1241,4963,3723,0.298662760411702,0.123519799494363
0.11,3412,1551,5273,0.0919885515265194,0.156755539414495,1.03446025338625,0.191471110836965,1551,5273,1551,5273,3723,0.200055411451127,0.21826534515402
0.12,3722,1861,5583,0.0746000256566857,0.101120947228722,1.00968079241031,0.177854802946207,2117,4859,2307,5416,3723,0.155330143118276,0.120012276154733
0.13,4032,2171,5893,0.0978000662131344,0.115925983162925,1.00300205315493,0.197562308125619,2171,5893,2171,5893,3723,0.21500328890347,0.146158602748139
0.14,4342,2481,6203,0.0507999781584919,0.194962804242438,0.980677057068792,0.128231801680035,2481,6203,2481,6203,3723,0.0941137111642592,0.28574100876415
0.15,4652,2791,6513,0.0381355095374,0.0895106414501275,0.973790337460423,0.136509191742955,3284,6011,3248,6135,3723,0.0615392559395087,0.0995079796379547
0.16,4963,3102,6824,0.0364751497190328,0.165622149032329,0.970896160540896,0.0968469716533775,3375,6202,3102,6824,3723,0.0572686214440115,0.233924156917425
