"feature_id","gene_symbol_trt","pc1_loading_trt","pc1_loading_abs_trt","rank_trt","gene_symbol_ctrl","pc1_loading_ctrl","pc1_loading_abs_ctrl","rank_ctrl","gene_symbol","combined_rank","in_treatment_leading_edge","in_control_leading_edge","in_leading_edge_union","in_remainder"
"157795","-",-0.0309990404522689,0.0309990404522689,1,"-",0.0211852875685526,0.0211852875685526,13,"-",7,TRUE,TRUE,TRUE,FALSE
"56517","LOC689961",0.0216892353688538,0.0216892353688538,14,"LOC689961",-0.0183278889638517,0.0183278889638517,66,"LOC689961",40,TRUE,TRUE,TRUE,FALSE
"129813","Tctn1",-0.021269180911999,0.021269180911999,18,"Tctn1",0.0167575385283521,0.0167575385283521,146,"Tctn1",82,TRUE,TRUE,TRUE,FALSE
"22582","Plpp4",-0.0212668228681284,0.0212668228681284,19,"Plpp4",0.016241695263432,0.016241695263432,188,"Plpp4",104,TRUE,TRUE,TRUE,FALSE
"576013","Slc25a5",0.0193187742406529,0.0193187742406529,44,"Slc25a5",-0.0158231699940892,0.0158231699940892,240,"Slc25a5",142,TRUE,TRUE,TRUE,FALSE
"158772","Tmem128",-0.0161385669955397,0.0161385669955397,198,"Tmem128",0.0175520402028438,0.0175520402028438,97,"Tmem128",148,TRUE,TRUE,TRUE,FALSE
"359327","-",-0.0194925411299778,0.0194925411299778,39,"-",0.0152629461808452,0.0152629461808452,323,"-",181,TRUE,TRUE,TRUE,FALSE
"410853","-",-0.0166267866093667,0.0166267866093667,146,"-",0.0158838473119174,0.0158838473119174,226,"-",186,TRUE,TRUE,TRUE,FALSE
"534198","-",-0.0241861738042019,0.0241861738042019,4,"-",0.0144708045984127,0.0144708045984127,436,"-",220,TRUE,TRUE,TRUE,FALSE
"484764","Tuba1a",-0.0178680847203235,0.0178680847203235,77,"Tuba1a",-0.0149985660276307,0.0149985660276307,367,"Tuba1a",222,TRUE,TRUE,TRUE,FALSE
"96223","Cacng5",-0.018702192673109,0.018702192673109,57,"Cacng5",-0.0147216324079009,0.0147216324079009,396,"Cacng5",226,TRUE,TRUE,TRUE,FALSE
"359012","Ncoa3",-0.0156641806087861,0.0156641806087861,245,"Ncoa3",0.0157524780918144,0.0157524780918144,257,"Ncoa3",251,TRUE,TRUE,TRUE,FALSE
"462674","Smoc1",-0.0153533848784572,0.0153533848784572,288,"Smoc1",0.0157518442229674,0.0157518442229674,258,"Smoc1",273,TRUE,TRUE,TRUE,FALSE
"286858","Arsb",0.0146513847769088,0.0146513847769088,425,"Arsb",0.0169042845130493,0.0169042845130493,135,"Arsb",280,TRUE,TRUE,TRUE,FALSE
"435225","Dhdds",0.0168978154904821,0.0168978154904821,128,"Dhdds",-0.0144817096471443,0.0144817096471443,435,"Dhdds",282,TRUE,TRUE,TRUE,FALSE
"330460","Trim44",-0.0183054967698231,0.0183054967698231,61,"Trim44",-0.0141686247076181,0.0141686247076181,513,"Trim44",287,TRUE,TRUE,TRUE,FALSE
"71209","Vamp2",-0.0219780827193043,0.0219780827193043,11,"Vamp2",0.0138937445462407,0.0138937445462407,596,"Vamp2",304,TRUE,TRUE,TRUE,FALSE
"47837","Dlg2",0.0155199293362644,0.0155199293362644,264,"Dlg2",0.0151114418769168,0.0151114418769168,349,"Dlg2",306,TRUE,TRUE,TRUE,FALSE
"116600","Abcc5",-0.0138944194444139,0.0138944194444139,611,"Abcc5",-0.025500922944925,0.025500922944925,2,"Abcc5",306,TRUE,TRUE,TRUE,FALSE
"232872","Garem1",-0.0181310421446101,0.0181310421446101,67,"Garem1",0.0140285623348139,0.0140285623348139,553,"Garem1",310,TRUE,TRUE,TRUE,FALSE
"60409","Zfyve27",-0.0136411932380915,0.0136411932380915,685,"Zfyve27",0.0205582332472524,0.0205582332472524,18,"Zfyve27",352,TRUE,TRUE,TRUE,FALSE
"457865","-",-0.0207174387691123,0.0207174387691123,23,"-",0.0135563319575265,0.0135563319575265,691,"-",357,TRUE,TRUE,TRUE,FALSE
"126860","Agfg2",-0.0141742271617246,0.0141742271617246,539,"Agfg2",0.0161596843431778,0.0161596843431778,194,"Agfg2",366,TRUE,TRUE,TRUE,FALSE
"188598","Xkr6",-0.0167670915690934,0.0167670915690934,134,"Xkr6",0.0138391722053998,0.0138391722053998,606,"Xkr6",370,TRUE,TRUE,TRUE,FALSE
"189200","Nefl",-0.0188608706226147,0.0188608706226147,54,"Nefl",0.0134656787067984,0.0134656787067984,713,"Nefl",384,TRUE,TRUE,TRUE,FALSE
"38383","Isoc2b",-0.0150622376331219,0.0150622376331219,340,"Isoc2b",0.0143760865484646,0.0143760865484646,456,"Isoc2b",398,TRUE,TRUE,TRUE,FALSE
"278072","Otud7b",-0.0173786425632216,0.0173786425632216,103,"Otud7b",0.0134634361416655,0.0134634361416655,714,"Otud7b",408,TRUE,TRUE,TRUE,FALSE
"424073","LOC688867",-0.0218991751164638,0.0218991751164638,13,"LOC688867",0.0130647724572576,0.0130647724572576,839,"LOC688867",426,TRUE,TRUE,TRUE,FALSE
"60297","Lcor",-0.0135585920933032,0.0135585920933032,711,"Lcor",-0.0165665649530893,0.0165665649530893,163,"Lcor",437,TRUE,TRUE,TRUE,FALSE
"24788","Pc",-0.01706564968165,0.01706564968165,119,"Pc",0.0131660390496252,0.0131660390496252,799,"Pc",459,TRUE,TRUE,TRUE,FALSE
"451294","-",0.0161061457823933,0.0161061457823933,201,"-",-0.0133779612176907,0.0133779612176907,736,"-",468,TRUE,TRUE,TRUE,FALSE
"63946","Rbfox1",-0.0153990402178291,0.0153990402178291,279,"Rbfox1",0.0136330785305598,0.0136330785305598,659,"Rbfox1",469,TRUE,TRUE,TRUE,FALSE
"381918","-",-0.0142438098720897,0.0142438098720897,525,"-",0.0145921200179901,0.0145921200179901,417,"-",471,TRUE,TRUE,TRUE,FALSE
"510466","-",-0.0156564232439323,0.0156564232439323,247,"-",0.0135259332112714,0.0135259332112714,700,"-",474,TRUE,TRUE,TRUE,FALSE
"443935","-",0.0176126452936002,0.0176126452936002,92,"-",-0.0129213191752658,0.0129213191752658,885,"-",488,TRUE,TRUE,TRUE,FALSE
"2845","-",-0.0135166585810768,0.0135166585810768,724,"-",0.0157275986137691,0.0157275986137691,263,"-",494,TRUE,TRUE,TRUE,FALSE
"372804","Alms1",0.0206382779020618,0.0206382779020618,25,"Alms1",-0.0126678107236125,0.0126678107236125,980,"Alms1",502,TRUE,TRUE,TRUE,FALSE
"476306","Rnf19a",-0.0144669724890692,0.0144669724890692,463,"Rnf19a",-0.0140296635893504,0.0140296635893504,552,"Rnf19a",508,TRUE,TRUE,TRUE,FALSE
"75698","Hlf",-0.0131685826934775,0.0131685826934775,852,"Hlf",0.0165293511716212,0.0165293511716212,165,"Hlf",508,TRUE,TRUE,TRUE,FALSE
"248384","-",-0.022209518586489,0.022209518586489,9,"-",0.0125536413096586,0.0125536413096586,1026,"-",518,TRUE,TRUE,TRUE,FALSE
"257180","Siah1",-0.0135899961813467,0.0135899961813467,705,"Siah1",0.015226032721177,0.015226032721177,332,"Siah1",518,TRUE,TRUE,TRUE,FALSE
"334610","Pak5",-0.0133203929688157,0.0133203929688157,788,"Pak5",-0.0157768771266248,0.0157768771266248,252,"Pak5",520,TRUE,TRUE,TRUE,FALSE
"265079","Map1b",-0.0146796434452653,0.0146796434452653,415,"Map1b",-0.0136919824519202,0.0136919824519202,642,"Map1b",528,TRUE,TRUE,TRUE,FALSE
"515528","Ubp1",-0.0173504245376617,0.0173504245376617,106,"Ubp1",0.0127271318496609,0.0127271318496609,959,"Ubp1",532,TRUE,TRUE,TRUE,FALSE
"460101","Pnn",-0.016533776758249,0.016533776758249,154,"Pnn",-0.0128291722942886,0.0128291722942886,923,"Pnn",538,TRUE,TRUE,TRUE,FALSE
"339349","Phactr3",-0.0154550045725765,0.0154550045725765,274,"Phactr3",-0.0131553866985555,0.0131553866985555,807,"Phactr3",540,TRUE,TRUE,TRUE,FALSE
