"comparison_name","selected_reason","crossing_id","crossing_rank","rank_cutoff","n_total","leading_edge_union_n","remainder_union_n"
"RT0_ZT6","no_crossing_detected",NA,NA,NA,31553,NA,NA
"RT2_ZT8","no_crossing_detected",NA,NA,NA,31534,NA,NA
"RT4_ZT10","no_crossing_detected",NA,NA,NA,31658,NA,NA
"RT8_ZT14","no_crossing_detected",NA,NA,NA,31580,NA,NA
