"feature_id","rank_trt","iod_local_amplitude_trt","cv2_local_amplitude_trt","window_left_trt","window_right_trt","window_n_trt","rank_ctrl","iod_local_amplitude_ctrl","cv2_local_amplitude_ctrl","window_left_ctrl","window_right_ctrl","window_n_ctrl","combined_rank","composite_iod_amplitude","composite_cv2_amplitude","regime_difference","local_window_left_rank","local_window_right_rank","local_window_n"
"157795",1,0.31930708416894,0.0900743714782948,1,78,78,13,0.358760943085144,0.101272102891016,1,90,90,7,0.678068027254085,0.191346474369311,0.486721552884774,1,90,90
"56517",14,0.382672338379052,0.132696659537032,1,91,91,66,0.359368855806679,0.103073487470169,1,143,143,40,0.742041194185731,0.235770147007202,0.506271047178529,1,143,143
"129813",18,0.345990188635369,0.0967957720484947,1,95,95,146,0.0625982978260708,0.0751933000340159,69,223,155,82,0.40858848646144,0.171989072082511,0.236599414378929,1,223,155
"22582",19,0.357499672162703,0.110606503009649,1,96,96,188,0.113732580322448,0.0641933186834649,111,265,155,104,0.471232252485152,0.174799821693114,0.296432430792038,1,265,155
"576013",44,0.395590123740476,0.102011920061386,1,121,121,240,0.0388156790395442,0.127123568272509,163,317,155,142,0.43440580278002,0.229135488333895,0.205270314446125,1,317,155
"158772",198,0.134809004300223,0.0972816945868544,121,275,155,97,0.170112072778238,0.0664335177270914,20,174,155,148,0.304921077078461,0.163715212313946,0.141205864764515,20,275,155
"359327",39,0.385601287717691,0.0992078804872563,1,116,116,323,0.0810539752565091,0.0843672915190012,246,400,155,181,0.4666552629742,0.183575172006258,0.283080090967943,1,400,155
"410853",146,0.133486449988993,0.0497237743168171,69,223,155,226,0.07818485154462,0.053431877751791,149,303,155,186,0.211671301533613,0.103155652068608,0.108515649465005,69,303,155
"534198",4,0.352199133450995,0.0881361994179315,1,81,81,436,0.130513859274288,0.0455360233972897,359,513,155,220,0.482712992725283,0.133672222815221,0.349040769910061,1,513,155
"484764",77,0.40169579406529,0.162201405805263,1,154,154,367,0.0823764111391938,0.103033360566769,290,444,155,222,0.484072205204484,0.265234766372032,0.218837438832452,1,444,155
"96223",57,0.41616219089974,0.101932077971014,1,134,134,396,0.0914171433869342,0.0970195662748665,319,473,155,226,0.507579334286675,0.198951644245881,0.308627690040794,1,473,155
"359012",245,0.0649202176400649,0.0911465343579039,168,322,155,257,0.0534062729657308,0.106520256565091,180,334,155,251,0.118326490605796,0.197666790922995,-0.0793403003171989,168,334,155
"462674",288,0.0749866115966142,0.0955091339851037,211,365,155,258,0.0402439379508905,0.100776422659237,181,335,155,273,0.115230549547505,0.196285556644341,-0.0810550070968361,181,365,155
"286858",425,0.0746019294067537,0.0484314391887892,348,502,155,135,0.149221162864933,0.0565723779345717,58,212,155,280,0.223823092271687,0.105003817123361,0.118819275148326,58,502,155
