"feature_id","rank_index","mean_value","var_value","log_mean","log_var","log_mean_smooth","log_var_smooth"
"417902",1,71.7521683726341,1962.67445283372,4.28705871141682,7.58257271796219,3.80373617327417,6.81320000317503
"152260",2,47.9023641561393,898.985393528131,3.88982574206348,6.80237853377942,3.79388824449419,6.78808273781225
"18054",3,43.7281825753978,1108.20149579798,3.80060378561992,7.01139566227838,3.78128288390952,6.76877495370565
"412822",4,45.3018512468805,632.514407333927,3.83518194402678,6.45128274193973,3.77056142012014,6.74563864235526
"351023",5,36.867001490168,495.070479781574,3.63408005974978,6.20671801296402,3.76068645635629,6.73067439188964
"167027",6,51.2089751175272,6812.39731809956,3.95525441722648,8.82664614671594,3.7516853505344,6.71466921891928
"154030",7,45.9901125069296,849.233098317946,3.84993720738574,6.74551054520451,3.74283937257146,6.70547687771415
"570401",8,44.8558195160959,999.070119537313,3.82550211575385,6.90782539606119,3.73232034355535,6.68597043664721
"59411",9,38.2616672368011,455.274710601068,3.67024865449786,6.12309506365161,3.71891086144092,6.66189578125165
"494158",10,37.2877703875974,586.350409626931,3.64513053416719,6.37562159168504,3.70692143956159,6.63583996364357
"319615",11,122.220948355218,14298.6847392553,4.81397907199585,9.56799276979905,3.69533340301135,6.60711331090554
"163094",12,9.37601727172056,287.994186524194,2.33949711159647,5.66640657207687,3.68394053119766,6.58594468101902
"2485",13,32.5239259119801,279.306256090964,3.51225939023482,5.63588277719018,3.6756552614618,6.57210922366104
"482089",14,31.0095493016714,207.16232943579,3.46603427395985,5.33831820530395,3.66347313780875,6.54526881165224
"380194",15,27.2411598504717,239.267810662581,3.34078048297398,5.48175417897393,3.65204250249818,6.5236262896039
"438786",16,27.0751092113041,253.837529260547,3.33488339060106,5.54062620194366,3.63300038168726,6.51022760427917
"10226",17,14.9944455434123,436.022145757156,2.77224150843131,6.0799838706014,3.62084672369159,6.48014544740265
"39594",18,26.8527382449123,920.963075581988,3.32693128272185,6.82650517457893,3.61323417890699,6.46638937813441
"336561",19,36.1717569271533,590.264551962199,3.61554925053547,6.38226355170149,3.60162360772956,6.44390129474984
"193163",20,28.0521863691387,297.738450823438,3.36909374274258,5.69956844416688,3.58956571793041,6.41459910961946
"73573",21,29.9318140030379,800.66095900556,3.4317852336367,6.68668577410282,3.57878940587065,6.40930728955745
"279612",22,6.04176900962645,132.562778507045,1.95185941838096,4.89457161829606,3.56629792780108,6.38254190391918
"416241",23,27.9735490877088,289.638823440249,3.36638331334594,5.67208133973605,3.5551381959559,6.36029499455799
"279572",24,9.37130793828273,202.081602995962,2.33904314141274,5.31360788346916,3.54279346580572,6.33735976602863
"322426",25,31.8889146799977,911.402208102044,3.49313566117665,6.81608091051038,3.53108317105371,6.31499604045751
"231701",26,22.609840888454,175.07258203321,3.16166361191563,5.17089630794147,3.51838836339539,6.28808927820142
"141955",27,27.4945551420772,480.074704863806,3.34971302137626,6.17602256961333,3.50643847031655,6.2675964686058
"460757",28,23.9742267942666,750.765843829416,3.21784436486685,6.62242489757527,3.49454434957051,6.24348639519865
"92812",29,26.0377962540736,215.489583491027,3.29723574837397,5.37754243307965,3.4807228252222,6.22098433861535
"161642",30,28.6021415643024,385.399603066463,3.38784670885822,5.95687207507713,3.46726039674597,6.19466721295495
"334188",31,26.3054200907028,206.833416047354,3.30708522060581,5.33673687443436,3.45685710951406,6.17144480617655
"333349",32,30.1196939374894,162.311948626896,3.43784086434825,5.0956621670908,3.44324795030268,6.14696331601793
"342433",33,39.7833255502504,708.151764285739,3.70827331038076,6.56406955762547,3.43019099597579,6.11774282351217
"340067",34,25.818546382948,233.120561977112,3.28909367738949,5.45583620480076,3.41776046593309,6.09142532771429
"299776",35,29.6751842445596,188.144174296093,3.42345399692155,5.24250955121849,3.40621280623602,6.06061477537269
"199157",36,23.8304166400205,200.42672356756,3.2120693790821,5.30542566049675,3.39259622138866,6.03641000081635
"572400",37,28.6006406639687,553.251883429331,3.38779600514878,6.31761924664912,3.37642080558246,6.00900620726073
"454351",38,5.33741647627254,181.68862607797,1.84647118954407,5.20778320680988,3.36516191863715,5.98517723704654
"67761",39,10.9875469240611,326.500262494476,2.48386835461784,5.79148885658483,3.35103685196216,5.96178033411137
"301431",40,19.5334451317632,165.997914609219,3.02205502658527,5.11798132496884,3.33786800379691,5.93609034199324
"401691",41,25.4384143485519,159.08823367278,3.27481804149646,5.07572512369027,3.3240345218825,5.90879987220372
"512516",42,35.9168063519071,554.037124445016,3.60866690404881,6.31903500240126,3.31033726003418,5.88149640874703
"156998",43,26.2001493356094,350.242077179728,3.30322246356664,5.86147566432162,3.29563972521476,5.85461089731906
"68847",44,25.6646967496328,230.880051415195,3.28334047138834,5.44622021820342,3.28518663788903,5.82470994028979
"270943",45,25.0294271519767,525.258682431828,3.25922771154098,6.2657928835433,3.27073257728122,5.79867219091795
"338201",46,9.44758643731172,237.378824047414,2.3463709887981,5.47386110594152,3.25982089797233,5.77621058011199
"179334",47,32.0277554245965,320.965537454108,3.49734828143501,5.77444451327662,3.25329568844725,5.77422561392532
"485230",48,23.1126342303687,163.209233883859,3.18273594505383,5.10114143102705,3.23946017057344,5.74480946364711
"422876",49,29.2438735323647,426.242593086777,3.4092936361096,6.05735198559447,3.22959258903431,5.72615693675726
"388202",50,27.2603441805132,364.095080127697,3.34145955625204,5.90015781316049,3.21758729702926,5.69930265058159
"266648",51,17.5291284470056,574.426820958367,2.91934400449092,6.35511206274986,3.20425350604845,5.67358333638383
"203089",52,25.9078456689438,154.357500554053,3.29241790463865,5.04572891632177,3.19088773698565,5.65088124118573
"321615",53,19.3670274624228,278.355879622491,3.01391729236511,5.63248652319571,3.19076095373955,5.66104874456703
"40483",54,23.6355585481358,188.768568951174,3.20419086868941,5.24580527157299,3.20598013626324,5.7070751731393
"486839",55,25.8344731171186,432.193028051886,3.28968737126867,6.07118342093427,3.20273744316043,5.7047932652286
"154457",56,28.3105354599905,388.96237025985,3.37794702340582,5.96605024795536,3.19659313861955,5.68978777453957
"478601",57,28.7733868913247,774.995139198647,3.39361493715998,6.65414625624433,3.18150556885431,5.65836302090573
"517452",58,24.1444395535109,272.806641742236,3.22463678078977,5.61242217020161,3.17641072405272,5.65267023843212
"235190",59,17.7782825363445,171.60962174479,2.93270101785931,5.15103252300978,3.16990413435017,5.63462613544558
"52219",60,20.6742972848651,140.307043960274,3.07612710160426,4.95093513954685,3.16297934568814,5.62617504387613
"152792",61,21.5710253561286,106.897401708313,3.11666701984311,4.68118079142098,3.15445854802379,5.61362718877673
"572693",62,22.0203511713846,230.491023969301,3.13637865823318,5.44454109942383,3.1357615162116,5.56364325431288
"350700",63,30.50815710731,484.505941135847,3.45024646809594,6.18519152480552,3.14168733204464,5.56217633037892
"398316",64,20.2565317042452,129.541489713527,3.05666422245804,4.87169110507337,3.13338129400922,5.56088208841944
"123818",65,21.9327161776222,219.672122455254,3.13256454504959,5.39667799108073,3.12905782891971,5.55738337283712
"531328",66,9.6313215735512,506.402969820489,2.36380450951338,6.22930550016439,3.12409526574787,5.55721101526479
"129647",67,20.3177328357179,93.0921737313195,3.05953925385508,4.54427487343349,3.11760670942877,5.55138852395968
"380564",68,32.7233908863661,488.414472193469,3.51819168817172,6.19320972186981,3.12318361995777,5.54874746057354
"120632",69,21.5197121787935,201.608652077167,3.11439102249681,5.31127629612074,3.11807050468986,5.52447698416954
"101079",70,20.5249309347567,100.804267105374,3.06921184170269,4.62305201979368,3.11038085373565,5.50931998334881
"277415",71,23.4994628637304,1149.66911547605,3.19865119338098,7.04809889169869,3.13431272842795,5.57108111535344
"542551",72,19.6026441919401,130.534446580515,3.02541942639029,4.87926876849723,3.13238588626105,5.56105524239434
"506177",73,22.5688469391526,206.604509368021,3.15992579505357,5.33563487248175,3.14093592375977,5.55697988426624
"33194",74,19.9102813000998,192.66205131841,3.04024096624818,5.26611463649747,3.13563724174125,5.55165820644008
"467664",75,21.2940302640392,204.169493538524,3.10431894146356,5.32383643527833,3.1411583599378,5.54790456839357
"334496",76,19.1838572307723,128.669606910734,3.00488313792751,4.86498973009737,3.13615577904812,5.52722448710974
"73285",77,20.761002908135,246.843859428182,3.08011951045392,5.51279894880434,3.13584343373853,5.53320253633263
"304489",78,20.8839286553115,170.99326238051,3.0857525160661,5.14745530383986,3.12801923572564,5.51659487911738
"557811",79,17.012838474492,201.32291356817,2.89108475223817,5.30986500304969,3.12694593807696,5.50279586040169
"350823",80,17.6781321404088,136.626435603978,2.92735343531764,4.92454302626167,3.12705739238896,5.52098408884354
"437966",81,24.4401008067378,187.125563969641,3.23632670099307,5.23710963334391,3.12486127536467,5.51501505940502
"307243",82,17.4033668907444,164.660781382167,2.91253363106819,5.10994221194136,3.12052022290135,5.50882940974189
"476858",83,18.4589345482941,101.647724420025,2.9683063244005,4.63130297488045,3.11584666978564,5.51123029517657
"377834",84,19.7298600865889,136.62129068923,3.03157517710455,4.92450564237611,3.10777075866131,5.49783250789433
"245361",85,21.6632593408929,86.4185000627006,3.12074508201243,4.47070693146025,3.10765625685359,5.4984132315927
"405690",86,17.3895697381992,169.356020899663,2.91178364183351,5.13789048777157,3.09873251374481,5.49310811630828
"383279",87,13.2014165260977,122.320859028738,2.65334171499097,4.81478956884463,3.09473259461233,5.49100260613462
"315689",88,22.3339907956358,175.946376019279,3.1499111299401,5.17584672632901,3.08903255778681,5.47551847620391
"287468",89,16.4689842031308,183.839063881701,2.86042697724258,5.21948552151024,3.10089875846328,5.47655570161872
"456407",90,18.240261694436,145.625763486859,2.95700504672697,4.98788351403159,3.10934130291839,5.48052098289018
"122053",91,16.9910972453345,123.740461304628,2.88987703806107,4.82623526922027,3.10846244109513,5.47305771412643
"130880",92,17.2403334319082,123.576864237592,2.90363526473723,4.82492290883649,3.10767651737351,5.47633141246552
"98128",93,15.4875853495983,128.94822004146,2.80260769465465,4.86713606373675,3.08824850536087,5.45518058106679
"319080",94,24.312463212142,94.8300258406,3.23129689151823,4.56257605800606,3.08693196853144,5.44775834991203
