"percentile","center_rank","lo_rank","hi_rank","iod_amplitude","cv2_amplitude","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","center_distance","center_agreement","local_fourier_score"
0.01,299,1,2094,0.45355150911132,0.102624944468082,1047.5,808,0.27610096692739,0.265791172674758,239.5,0.00415800415800416,0.97505624922895
0.02,598,1,2393,0.476615103400862,0.109140016649785,1197,870.5,0.274137491508743,0.274079311705241,326.5,0.00305343511450382,1.0305576453953
0.03,897,1,2692,0.435292868303887,0.136339112719033,1346.5,1346.5,0.278365527792926,0.281633751371985,0,1,1.96493190014145
0.04,1196,1,2991,0.456322064127344,0.119029442112578,1496,1496,0.281889366603538,0.289585978910739,0,1,1.99330983000103
0.05,1496,1,3291,0.46560215446395,0.183954682066585,1646,1646,0.29265457932394,0.293066291389059,0,1,2.07834956558209
0.06,1795,1,3590,0.409744849815043,0.207293708673923,1795.5,1795.5,0.298636693865958,0.302560242991864,0,1,1.9803488928497
0.07,2094,299,3889,0.19200968018541,0.103038234925028,2094,2016.5,0.29804188422966,0.320206689170828,77.5,0.0127388535031847,0.415969842390321
0.08,2393,598,4188,0.148979939498263,0.154972868655649,1953.5,2393,0.307863901530882,0.334260246148812,439.5,0.00227014755959137,0.363939484537308
0.09,2692,897,4487,0.130140696910482,0.0911242592887344,2692,2388,0.313968197945011,0.352928159283089,304,0.00327868852459016,0.260221323357254
0.1,2991,1196,4786,0.0916733147791553,0.144494903781385,2457,2991,0.324088272745064,0.364179027445874,534,0.00186915887850467,0.228594859813462
0.11,3290,1495,5085,0.0659841096578382,0.0930074736038734,2753,3578.5,0.33127336465795,0.378823503740637,825.5,0.00120992135511192,0.120683634418854
0.12,3589,1794,5384,0.0570093346551601,0.13346341441433,2839,4959.5,0.330436627512741,0.40390061785131,2120.5,0.000471364600518501,0.140881078520656
0.13,3888,2093,5683,0.0256529306244651,0.0847318530050896,2885.5,3227,0.337736419451529,0.419097568743963,341.5,0.00291970802919708,0.0265221051945157
0.14,4188,2393,5983,0.0497711996903475,0.139743327194932,4188,4188,0.346754064589121,0.429862113218245,0,1,1.13096399317858
0.15,4487,2692,6282,0.0271159843001851,0.0885625690349782,3792.5,4487,0.349587436400479,0.44210475269686,694.5,0.00143781452192667,0.0320462504375827
0.16,4786,2991,6581,0.0205188958998588,0.284892864659564,5708,4786,0.349748746071868,0.457592204230609,922,0.00108342361863489,0.213565181023191
0.17,5085,3290,6880,0.0544438600496574,0.155461576417295,5085,5503.5,0.341767898222097,0.482900077560201,418.5,0.00238379022646007,0.159205022553913
0.18,5384,3589,7179,0.0277219748371721,0.170050086802561,4217.5,3901,0.345152685876,0.492608903345743,316.5,0.0031496062992126,0.116508749974478
0.19,5683,3888,7478,0.0500497128907422,0.218415735208739,6245,7050.5,0.349006585898427,0.4989038568196,805.5,0.00123992560446373,0.211430054329296
0.2,5982,4187,7777,0.046547459294651,0.137938410192267,4567,7100.5,0.341953821222899,0.509574373615611,2533.5,0.000394555139080687,0.122552701341079
0.21,6281,4486,8076,0.0371223945195105,0.223185874866417,6070,5559.5,0.341335172356396,0.515341208241472,510.5,0.00195503421309873,0.188833497043063
0.22,6580,4785,8375,0.0549311121880797,0.148543545070601,6580,7479,0.341624380669771,0.524164310639835,899,0.00111111111111111,0.152077148621986
0.23,6880,5085,8675,0.0472224853160952,0.328599541437812,6880,6880,0.3445015734905,0.527915565165412,0,1,1.31416134410503
0.24,7179,5384,8974,0.0376825173514991,0.227488821286334,7295,5897.5,0.347250422904297,0.534934615052273,1397.5,0.000715051841258491,0.193110271156086
0.25,7478,5683,9273,0.0354228852600093,0.219169841472561,7441,6079,0.341386562175885,0.544680514422451,1362,0.000733675715333822,0.179907311214308
0.26,7777,5982,9572,0.0559120459864335,0.142765251708643,7777,7650,0.337293641919473,0.556362805804286,127,0.0078125,0.155134636847172
0.27,8076,6281,9871,0.0560917357589724,0.404140010468715,8076,8076,0.345928817914458,0.555992499591782,0,1,1.40891703611093
0.28,8375,6580,10170,0.0409754778208579,0.205796109116134,8426,8375,0.34616307739113,0.56972404826836,51,0.0192307692307692,0.197099852200591
0.29,8674,6879,10469,0.0513185612435779,0.121072221566277,8674,8742,0.354592261601533,0.567728895308604,68,0.0144927536231884,0.130158732848671
0.3,8973,7178,10768,0.0348267224722847,0.451658702298154,8990,10350.5,0.342916996449187,0.570792961454247,1360.5,0.000734484024972457,0.410950739760913
0.31,9272,7477,11067,0.0467404751038827,0.375089556222187,9272,9272,0.347116991979275,0.595693474981572,0,1,1.35957414690822
0.32,9572,7777,11367,0.0484073236843651,0.439591731986516,9040,9572,0.35583137814412,0.6036904587293,532,0.00187617260787992,0.429530972649649
0.33,9871,8076,11666,0.0162192064775746,0.226613142052226,9513.5,8455,0.353394126554532,0.630169267187958,1058.5,0.000943841434638981,0.145844702758704
0.34,10170,8375,11965,0.0660749801190478,0.149584190528219,10170,9483.5,0.351909204126787,0.6410044589975,686.5,0.00145454545454545,0.1776655189221
0.35,10469,8674,12264,0.0341237259911074,0.192438631658102,10469,10469,0.350065259786348,0.653451022914816,0,1,1.14963799687085
0.36,10768,8973,12563,0.0298512012651224,0.46941881703196,10704.5,10768,0.35976029844086,0.639606434231553,63.5,0.0155038759689922,0.432661635289564
0.37,11067,9272,12862,0.0286753513746973,0.379320556519492,11585.5,11703.5,0.372678360553889,0.640089107990434,118,0.00840336134453781,0.332967516297491
0.38,11366,9571,13161,0.0644880090778864,0.332152525420283,12675.5,9936,0.374513068101746,0.64902939465416,2739.5,0.000364896916621055,0.355578383866885
0.39,11665,9870,13460,0.0707893403795752,0.775870545214805,11665,12999,0.355149678856348,0.640567767276203,1334,0.000749063670411985,0.81307847927625
