"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","feature_id","empirical_p","empirical_q","lfdr","lfc_shrunk","HBFSS","passes_hc_p_gate","HBFSS_significant","regulation_direction","raw_lfc_pass","shrunk_lfc_pass","padj_strong_effect","padj_weak_effect","effect_class","resGA_padj","resLA_padj","standard_significant","deseq2_strong_call","deseq2_weak_call","HBFSS_only_call","overlap_call","gene_symbol","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p","dataset_name","hc_p_threshold_dataset","hbfss_threshold_dataset"
7.7327381140892,3.25281883456258,1.14419480274465,2.84288901396847,0.00447066355244638,0.10205029143547,"25256",0.0101620236479496,0.244555619756458,0.598782583785311,2.07018105641319,4.12591183249481,TRUE,TRUE,"upregulated",TRUE,TRUE,1,NA,"intermediate",1,NA,FALSE,FALSE,FALSE,TRUE,FALSE,"Scyl1",27.1280184410862,14.6269493721404,12.9305696153118,15.5292175599455,0,0,3.21456803430261,3.89805811810548,0,0,1.362765108388,0.915714797306329,1.09885441123321,9,FALSE,0.991185750686902,1.99301979878195,"RT4_ZT10_leading_edge_dataset",0.0223630001694861,1.65046993291228
6.14137253255112,5.65835847089834,1.40251427895597,4.0344391182316,5.47328785222828e-05,0.00514002943727846,"375796",0.000264751042909239,0.0260712969450744,0.0681130576669673,6.28242910253416,22.4732686664279,TRUE,TRUE,"upregulated",TRUE,TRUE,0.236242623250982,NA,"intermediate",0.236242623250982,NA,FALSE,FALSE,FALSE,TRUE,FALSE,"Tada3",13.5640092205431,18.2836867151755,21.5509493588529,8.01508003093961,0,0,0,0,0,0,1.81234758216615,1.13355135587046,1.3294111761417,9,FALSE,2.28903439376523,3.57716232044112,"RT4_ZT10_leading_edge_dataset",0.0223630001694861,1.65046993291228
32.8535272059938,-2.12995393320126,0.580037673549953,-3.67209584881873,0.000240569415784537,0.0150614391474403,"41106",0.000900317065554823,0.0576848497382463,0.169471416836432,-1.77149221282363,5.39526468645298,TRUE,TRUE,"downregulated",TRUE,TRUE,1,0.989002465947799,"intermediate",1,0.989002465947799,FALSE,FALSE,FALSE,TRUE,FALSE,"-",10.3990737357497,15.5411337078992,11.4938396580549,22.0414700850839,0,41.752362504463,43.9324298021357,22.0889960025977,68.3707941810964,92.9151723828572,0.436539873603117,0.272912347676932,0.359339717874204,6,FALSE,1.82213352853835,3.04560451770393,"RT4_ZT10_leading_edge_dataset",0.0223630001694861,1.65046993291228
16.7575438759346,-1.61897199812558,0.557225424650035,-2.90541659893279,0.00366764577868382,0.0889326877096527,"420240",0.00861924419654025,0.221139572623993,0.598782583785311,-1.13894615928895,2.35138944233972,TRUE,TRUE,"downregulated",TRUE,TRUE,1,0.897155520661858,"intermediate",1,0.897155520661858,FALSE,FALSE,FALSE,TRUE,FALSE,"Rpl7",8.13840553232587,9.59893552546715,12.9305696153118,10.0188500386745,0,15.6571359391736,23.5734989182192,42.8786392991603,18.2322117816257,26.5471921093878,0.159798856262025,0.462969709416906,0.299945191533802,8,FALSE,1.05093858230671,2.06453081487864,"RT4_ZT10_leading_edge_dataset",0.0223630001694861,1.65046993291228
19.5788040265336,-2.02103853278117,0.667849142628479,-3.02619020341464,0.00247656460125087,0.0687108287668719,"532248",0.00621929084037598,0.182605803419201,0.485711661788602,-1.45314403079483,3.20601228988704,TRUE,TRUE,"downregulated",TRUE,TRUE,1,0.957499232226445,"intermediate",1,0.957499232226445,FALSE,FALSE,FALSE,TRUE,FALSE,"Dpp9",14.0161428612279,8.22765902182898,11.4938396580549,4.50848251740353,0,6.52380664132235,52.5046112269427,41.5792865931251,30.3870196360428,26.5471921093878,0.507305075632055,0.40707043625059,0.464024953104328,6,FALSE,1.16297481311375,2.20625913326254,"RT4_ZT10_leading_edge_dataset",0.0223630001694861,1.65046993291228
14.6841441954379,-1.63174267340952,0.606647204077254,-2.68977201649102,0.00715008480130245,0.137028165135326,"226650",0.0150226286371242,0.302445719220448,0.598782583785311,-1.00778934796859,1.83745602885726,TRUE,TRUE,"downregulated",TRUE,TRUE,1,NA,"intermediate",1,NA,FALSE,FALSE,FALSE,TRUE,FALSE,"Hist1h4b",5.42560368821725,10.0560276933465,11.4938396580549,8.51602253287334,0,22.180942580496,30.0026349868244,16.8915851784571,33.4257215996471,8.84906403646259,0.231327222562072,0.517744859025647,0.35833086508226,10,FALSE,0.863190157619705,1.8232540684827,"RT4_ZT10_leading_edge_dataset",0.0223630001694861,1.65046993291228
15.6931616561226,-1.93017768754027,0.626832096024432,-3.0792579061954,0.00207516951471777,0.0618413512272208,"94906",0.00536982073519909,0.168746597058389,0.379777201236237,-1.41745440158582,3.21767849090093,TRUE,TRUE,"downregulated",TRUE,TRUE,1,NA,"intermediate",1,NA,FALSE,FALSE,FALSE,TRUE,FALSE,"-",6.78200461027156,4.57092167879388,11.4938396580549,9.51790753674079,0,19.571419923967,16.0728401715131,12.9935270603516,24.3096157088343,51.6195402126984,0.31111790763957,0.489280648459397,0.385567735943106,5,FALSE,1.2087210296959,2.27004021244073,"RT4_ZT10_leading_edge_dataset",0.0223630001694861,1.65046993291228
27.5130837895123,-2.87747169182462,0.561586159358678,-5.12382943181977,2.99391841571729e-07,0.000100851955868361,"254185",3.61322384634377e-06,0.00122484113708536,0.00459957567921948,-2.64757932271325,14.4084050200412,TRUE,TRUE,"downregulated",TRUE,TRUE,0.236242623250982,1,"intermediate",0.236242623250982,1,FALSE,FALSE,FALSE,TRUE,FALSE,"-",8.59053917301064,5.94219818243204,7.18364978628431,10.0188500386745,0,73.0666343828103,77.1496328232627,18.1909378844922,42.54182749046,32.4465681336962,0.304543826948498,0.311319808400259,0.307499478604889,6,FALSE,3.99631567489693,5.44210513219879,"RT4_ZT10_leading_edge_dataset",0.0223630001694861,1.65046993291228
22.9876547869446,2.38564228382092,0.730310032240881,3.26661579124256,0.00108841286575766,0.0403166075737653,"220253",0.00314335431334078,0.122946875517774,0.28669999421197,1.83428741209117,4.59049989993804,TRUE,TRUE,"upregulated",TRUE,TRUE,1,0.986635955923231,"intermediate",1,0.986635955923231,FALSE,FALSE,FALSE,TRUE,FALSE,"LOC108348590",58.3252396483354,70.8492860213051,34.4815189741647,25.0471250966863,3.91280766213363,9.13332929785129,5.35761339050436,9.09546894224612,13.6741588362193,0,0.683851224774083,0.35783398841917,0.540616740474592,9,FALSE,1.39451601857587,2.5026066633171,"RT4_ZT10_leading_edge_dataset",0.0223630001694861,1.65046993291228
11.6952161060677,4.82543801434327,1.2595912443517,3.83095550717874,0.000127646588485474,0.00943669728151465,"2937",0.000533035286105488,0.0413786152040575,0.113975472792821,4.08670851822204,13.3767943021374,TRUE,TRUE,"upregulated",TRUE,TRUE,0.449350896727436,NA,"intermediate",0.449350896727436,NA,FALSE,FALSE,FALSE,TRUE,FALSE,"Kiaa0408L",5.42560368821725,8.68475118970837,5.74691982902745,17.5329875676804,75.6476148012502,3.91428398479341,0,0,0,0,1.52862526174082,0.630885367346677,1.04976018761976,6,FALSE,2.02517997639963,3.27324404040371,"RT4_ZT10_leading_edge_dataset",0.0223630001694861,1.65046993291228
