"feature_id","gene_symbol","dataset_name","regulation_direction","effect_class","standard_significant","HBFSS_significant","HBFSS_only_call","deseq2_strong_call","deseq2_weak_call","overlap_call","lfc_shrunk","log2FoldChange","HBFSS","padj","empirical_p","empirical_q","lfdr","padj_strong_effect","padj_weak_effect","baseMean","dispGeneEst","dispFit","dispersion","lfcSE","stat","pvalue","passes_hc_p_gate","raw_lfc_pass","shrunk_lfc_pass","R4_1","R4_2","R4_3","R4_4","R4_5","ZT10_1","ZT10_2","ZT10_3","ZT10_4","ZT10_5","dispIter","dispOutlier","neglog10_padj","neglog10_empirical_p","hc_p_threshold_dataset","hbfss_threshold_dataset"
"534198","-","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-3.55056276383972e-07,-6.94526742962531,7.75464667927158e-07,0.268465208026619,0.00654543799414053,0.261935664836094,0.397763543549824,1,0.986918016297993,23.2683024557275,10,1.02785890059526,10,2.98872259514889,-2.32382471390902,0.0201348906019964,TRUE,TRUE,FALSE,0,1.35367816971729,0,0,0,0,0,0,135.440425689098,95.8889206984602,9,TRUE,0.571111989074688,2.18406128691706,0.0339799752080896,1.46877694232965
"433098","Cap1","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.92483763969645e-06,-3.36819835659292,6.31690950358373e-06,0.0757762342762612,0.000522650985529394,0.0656464906006876,0.199392628423122,1,0.989928871227898,228.280605165189,1.97373088031858,0.755044966982587,1.53819911767753,1.13615020503969,-2.96457135830491,0.00303104937105045,TRUE,TRUE,FALSE,85.952172397183,40.1591190349463,31.0084503273514,11.6928658225452,32.5116928747706,342.506736460928,1446.77930795022,47.0313919290035,245.164314854949,0,10,FALSE,1.12046698092532,3.28178822634615,0.0339799752080896,1.46877694232965
"18321","Thrsp","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.16267169042728e-06,0.843659012653124,5.11018959775567e-07,0.920836667042882,0.363478486695667,0.895957247771922,1,1,0.760270652684994,71.355045469785,1.82066958080878,0.823140766503315,1.39998933374291,1.08628917446916,0.776643119052893,0.437369354414541,FALSE,FALSE,FALSE,95.0188572492066,75.3547514475959,59.8020113456062,83.8660721065311,144.270637131795,110.544502244003,56.0996058184777,88.5940173546345,0,0,9,FALSE,0.0358173957451844,0.439521288755014,0.0339799752080896,1.46877694232965
"457865","-","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4.07861043343276e-07,-5.35166202481404,6.73569458064578e-07,NA,0.0223116664348191,0.415968012254563,0.655676505565585,1,0.966297642591658,11.9393737505363,8.40707611975876,1.31610466558776,8.40707611975876,2.74046910083873,-1.95282698979388,0.0508400992671231,TRUE,TRUE,FALSE,1.08800218224282,1.35367816971729,0,0,0,0,0,0,18.8587934503807,98.0932637030225,9,TRUE,NA,1.65146799150825,0.0339799752080896,1.46877694232965
"35860","-","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.24020613061457e-06,-2.31130861846126,1.80529252284588e-06,0.47737335471735,0.0350236101773533,0.481728223705979,0.821555247384262,1,0.913515630239626,19.2326612526325,2.56531632966579,1.09160135825078,1.89188837222348,1.28290930508443,-1.80161497722487,0.0716060032076025,FALSE,TRUE,FALSE,2.53867175856659,5.8659387354416,8.85955723638611,14.5152817107458,0,65.23937837351,72.3389653975108,22.9688193141645,0,0,10,FALSE,0.321141825425973,1.45563908956916,0.0339799752080896,1.46877694232965
"146021","LOC108352533","RT4_ZT10_leading_edge_dataset","upregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7.75917621132568e-07,0.299075124487354,8.7716299294955e-08,0.980880676887229,0.770817437600501,0.948084303837879,1,1,0.760270652684994,46.7933565018974,2.28369218892874,0.875136736120472,1.70955711569396,1.20131619687151,0.248956207588153,0.803394656308134,FALSE,FALSE,FALSE,14.5066957632376,46.4762838269603,32.1158949818997,33.0625861189209,132.078752303756,157.661831069316,21.4064285359981,30.625092418886,0,0,8,FALSE,0.00838382087827785,0.113048469200789,0.0339799752080896,1.46877694232965
"354681","Macrod2","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.98841417502323e-07,-1.09427726502834,5.17030050172999e-07,0.849040213864727,0.265938784809658,0.863024008204989,1,1,0.780714978514681,23.7062436686098,1.8922141413072,1.02224701625373,1.54288534001115,1.15097976135903,-0.950735453190129,0.341738686080552,FALSE,TRUE,FALSE,7.61601527569976,12.1831035274556,4.42977861819305,29.0305634214916,22.3517888514048,90.6102477409861,39.1220935313068,31.7188457195605,0,0,8,FALSE,0.0710717393839119,0.575218320056622,0.0339799752080896,1.46877694232965
"208999","-","RT4_ZT10_leading_edge_dataset","upregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.18830626239805e-06,-0.329428972076084,1.64764696649964e-07,0.980880676887229,0.726682869947899,0.945104330427613,1,1,0.760270652684994,26.2020299234587,1.71130342532541,0.99384625077104,1.42019212733479,1.10278113249059,-0.298725615056616,0.765149410980476,FALSE,FALSE,FALSE,7.25334788161882,21.2076246589042,36.5456736000927,31.0465747702062,20.3198080467316,52.5539436897719,70.1245072730972,22.9688193141645,0,0,11,FALSE,0.00838382087827785,0.138655077284085,0.0339799752080896,1.46877694232965
"270602","-","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4.93931586356205e-07,-0.407028601967152,8.56656850471478e-08,0.980880676887229,0.670754605120777,0.940798051285334,1,1,0.760270652684994,26.1210985613475,1.78853533720465,0.994682067026131,1.4665969408956,1.12033310116119,-0.36331034184858,0.716373068727664,FALSE,FALSE,FALSE,12.330691398752,18.0490422628972,11.0744465454826,18.5473044081752,52.8315009215022,83.3614279217072,39.8602462394447,25.1563259155135,0,0,11,FALSE,0.00838382087827785,0.173436336961388,0.0339799752080896,1.46877694232965
"275669","-","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.48253047079345e-06,-2.43319932253755,2.62299187347314e-06,0.360921819149806,0.0170111332395273,0.374846866460672,0.572790551400888,1,0.933746099563779,16.4897133356437,1.89662011819954,1.15273572424619,1.60538877745498,1.19302199498118,-2.03952595406755,0.0413975636255328,TRUE,TRUE,FALSE,1.45066957632376,7.21961690515889,4.42977861819305,4.83842723691526,8.12792321869265,88.7980427861664,36.9076354068932,13.125039608094,0,0,11,FALSE,0.442586862329725,1.76926675380191,0.0339799752080896,1.46877694232965
"128848","-","RT4_ZT10_leading_edge_dataset","upregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.22504468591309e-06,0.425792626507862,1.85659650714855e-07,0.980880676887229,0.705418150398884,0.943542935430806,1,1,0.760270652684994,20.4195918561966,2.83976787168215,1.07023850645514,2.03117199519097,1.3179935705796,0.323061231869755,0.746648869775017,FALSE,FALSE,FALSE,38.8054111666607,37.9029887520842,8.85955723638611,12.902472631774,18.2878272420585,0,0,0,41.1464584371942,46.2912030958084,12,FALSE,0.00838382087827785,0.151553370133983,0.0339799752080896,1.46877694232965
"23297","-","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-3.05597548762531e-07,-3.7727826486348,2.68875064080144e-07,NA,0.131876120421117,0.757538916215548,1,NA,NA,11.1486851255954,10,1.35809222516403,10,2.92986983389549,-1.28769633551215,NA,FALSE,TRUE,FALSE,0,0,0,0,8.12792321869265,0,0,0,8.57217884108212,94.7867491961791,9,TRUE,NA,0.879833837571378,0.0339799752080896,1.46877694232965
"170748","LOC100361879","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-9.11540244383866e-07,0.876789553182949,4.27757729520466e-07,0.905462810856792,0.339414846295122,0.88939673392484,1,1,0.760495812859277,83.8515982834421,1.68145921290808,0.808377769344956,1.37032127216829,1.07391955953699,0.816438759678583,0.414249235966982,FALSE,FALSE,FALSE,29.7387263146372,124.538391613991,71.9839025456371,56.4483177640113,260.093542998165,202.966954939809,38.383940823169,49.2188985303525,5.14330730464927,0,7,FALSE,0.0431293823144229,0.469269165191493,0.0339799752080896,1.46877694232965
"417902","Prdm2","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4.39741382507821e-08,-0.375188775227454,1.05796461145587e-08,0.979440325887385,0.574661480975726,0.931575853105279,1,1,0.760270652684994,59.8986284627119,0.645351064886101,0.84208720512963,0.717342306153278,0.782273628995305,-0.479613221411182,0.63150244329616,FALSE,FALSE,FALSE,57.6641156588696,64.5253260898576,65.3392346183476,72.5764085537289,0,36.2440990963945,103.341379139301,105.000316864752,48.0042015100599,46.2912030958084,9,FALSE,0.00902201901309179,0.240587912245682,0.0339799752080896,1.46877694232965
"494843","-","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.24172439463456e-06,-1.88108288219265,1.48971899269663e-06,NA,0.0631367310576447,0.59932980361426,1,1,0.873642897951472,16.1726123494609,1.88273679266806,1.16114047133811,1.5990762842299,1.18450057516134,-1.5880810205064,0.112268019466724,FALSE,TRUE,FALSE,1.08800218224282,7.21961690515889,3.32233396364479,12.902472631774,10.1599040233658,59.8027635090508,42.0747043638583,25.1563259155135,0,0,11,FALSE,NA,1.19971790772062,0.0339799752080896,1.46877694232965
"465508","Kcnk13","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.05636331860014e-06,-0.608344405047491,5.79890093060122e-07,0.979440325887385,0.522398740999438,0.925242191255042,1,1,0.760270652684994,21.6846381062707,1.69870750408113,1.0500442667412,1.43777354036834,1.11283768354186,-0.546660500488532,0.584611995803374,FALSE,FALSE,FALSE,3.98934133489035,15.3416859234626,15.5042251636757,20.9665180266328,30.4797120700975,67.0515833283297,36.1694826987554,27.3438325168625,0,0,10,FALSE,0.00902201901309179,0.281997878397714,0.0339799752080896,1.46877694232965
"157795","-","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.31405596874948e-06,-4.41993582828887,6.17361331779931e-06,0.0133955714254395,2.00384559834177e-05,0.00608723992340748,0.0176732908921191,1,0.999665636732375,55.2555305888679,2.13074150607048,0.85200318293787,1.67625624283014,1.21276855673639,-3.64450067882952,0.00026791142850879,TRUE,TRUE,FALSE,2.53867175856659,4.51226056572431,0,4.43522496717232,14.2238656327121,7.24881981927889,3.69076354068932,3.2812599020235,250.307622159598,262.316817542914,10,FALSE,1.87303875561889,4.69813574506603,0.0339799752080896,1.46877694232965
"572970","-","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,-3.1398474105203,-3.84538775579544,15.2820173758493,0.0133829756614414,1.35793494893122e-05,0.00468525107807818,0.0164119839534295,1,0.999571199748844,113.718409397786,1.45321891121547,0.786238306825811,1.2529584206719,1.03424086335331,-3.71807756979121,0.00020074463492162,TRUE,TRUE,TRUE,9.79201964018541,9.92697324459347,14.3967805091274,10.4832590133164,30.4797120700975,12.6854346837381,9.59598520579224,15.312546209443,588.051468498234,436.459914903336,5,FALSE,1.873447311855,4.86712103417694,0.0339799752080896,1.46877694232965
"56517","LOC689961","RT4_ZT10_leading_edge_dataset","upregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.98322252500107e-06,2.4009708396238,4.40243463180315e-06,0.268465208026619,0.00602783058484202,0.254473815257295,0.397763543549824,1,0.949653756492382,79.7480001377048,1.5460238087785,0.812715414470913,1.22836205317756,1.02298875832354,2.3470158592539,0.0189244492571755,TRUE,TRUE,FALSE,105.536211677554,143.489885990033,100.777463563892,98.7845560870199,221.485907709375,76.1126081024283,20.6682758278602,30.625092418886,0,0,9,FALSE,0.571111989074688,2.21983896224695,0.0339799752080896,1.46877694232965
"176730","Rnf17","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.18860535896595e-06,-1.14435831177684,7.62770152383305e-07,NA,0.228173175096436,0.843891884557516,1,1,0.780714978514681,15.1888556896251,1.55039968749747,1.18944805452473,1.40706468208715,1.11115093153482,-1.02988557116733,0.303063724786256,FALSE,TRUE,FALSE,3.98934133489035,10.8294253577383,5.53722327274132,7.25764085537289,20.3198080467316,52.5539436897719,29.5261083255146,21.87506601349,0,0,9,FALSE,NA,0.641735414222678,0.0339799752080896,1.46877694232965
"75091","Trim37","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.51343221562496e-06,-2.88346178365461,2.56568031159086e-06,NA,0.0201709942012045,0.400431797078047,0.655676505565585,1,0.94185488158069,12.0697130455479,3.43704475574919,1.30971148143121,2.36109827465679,1.4523215926852,-1.98541548798664,0.0470982642130066,TRUE,TRUE,FALSE,2.17600436448565,1.80490422628972,0,9.67685447383052,0,70.6759932379692,22.1445812441359,14.2187929087685,0,0,10,FALSE,NA,1.69527269546815,0.0339799752080896,1.46877694232965
"121081","LOC501835","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4.67368291031177e-07,-1.07123042110313,1.84437538389399e-07,0.932044459568033,0.40306029836155,0.905206037803555,1,1,0.774610186037629,22.6243226332817,3.96409672691244,1.03650563887023,2.64810645916187,1.49904773427598,-0.714607278080119,0.474851746237911,FALSE,TRUE,FALSE,0,6.76839084858646,4.42977861819305,7.66084312511583,54.8634817261754,125.042141882561,11.072290622068,16.4062995101175,0,0,7,FALSE,0.0305633708171155,0.394629977961204,0.0339799752080896,1.46877694232965
"433229","Macf1","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.88761098556089e-07,-3.05653676747127,1.30709733950931e-06,NA,0.0338301606189693,0.475107465067065,0.655676505565585,1,0.935131473027103,7.08950428996412,4.81980362801396,1.72110275226451,3.098286759878,1.68535725873021,-1.81358388652513,0.0697418130550956,TRUE,TRUE,FALSE,3.62667394080941,2.25613028286215,0,1.20960680922881,0,0,0,0,27.4309722914628,36.371659575278,9,FALSE,NA,1.47069594026208,0.0339799752080896,1.46877694232965
"470412","-","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.65960936011473e-06,-2.73677478899462,4.62521539656385e-06,0.132871505760672,0.00163331454562932,0.132870929658865,0.291540577674168,1,0.975424183615451,1818.74759333325,1.46012984807018,0.727967779506556,1.24033489346503,1.01664598863486,-2.69196438051119,0.00710325312733344,TRUE,TRUE,FALSE,160.661655577857,383.090922029993,784.070815420171,164.103323785376,881.879669228153,338.882326551288,145.416083503159,242.813232749739,6780.59346329596,8305.96444119076,7,FALSE,0.876568143344,2.78693017026856,0.0339799752080896,1.46877694232965
"180115","-","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.38596311797771e-06,-3.12066432931907,2.92581976081313e-06,NA,0.00774395384820736,0.276551405890657,0.397763543549824,1,0.963504527532732,10.4616615113532,2.70598006696101,1.39972809960926,2.03990396397117,1.37118643961262,-2.27588622463383,0.022852820186661,TRUE,TRUE,FALSE,2.90133915264753,2.70735633943458,0,4.43522496717232,0,45.3051238704931,33.9550245743418,15.312546209443,0,0,9,FALSE,NA,2.11103724396524,0.0339799752080896,1.46877694232965
"152260","Plxna2","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-8.36214527491887e-07,-0.13528673152939,6.11185910527329e-08,0.992693085812593,0.845104458976431,0.952430753398414,1,1,0.760270652684994,39.1784001366864,0.680646583939713,0.904496790979687,0.761603838123256,0.810264511015781,-0.166966132281654,0.867396697329121,FALSE,FALSE,FALSE,59.1147852351934,36.5493105823669,48.7275648001236,41.9330360532656,0,21.7464594578367,55.3614531103399,62.3439381384465,12.001050377515,54.0064036117765,9,FALSE,0.00318500300604416,0.073089606845327,0.0339799752080896,1.46877694232965
"18054","Dlg2","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.9429414008732e-06,0.356585629752421,3.54628640918626e-07,0.980880676887229,0.656868548731553,0.939622099051987,1,1,0.760270652684994,36.8850746526061,1.09203042777326,0.915714099692502,1.0294348333179,0.939229369787886,0.379657665339992,0.704199549350354,FALSE,FALSE,FALSE,35.5414046199322,73.0986211647337,57.5871220365097,40.7234292440368,0,10.8732297289183,69.3863545649593,37.187612222933,41.1464584371942,3.30651450684346,10,FALSE,0.00838382087827785,0.182521531920236,0.0339799752080896,1.46877694232965
"508357","Ptpn9","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.18652615041568e-06,-3.90085861555686,2.91610429940648e-06,NA,0.00348592240730605,0.201534180640019,0.397763543549824,1,0.98204071014943,10.3021824822477,4.24752427563624,1.41018719249677,2.59669589517843,1.56247355217985,-2.49659177277892,0.0125393217517289,TRUE,TRUE,FALSE,0,2.70735633943458,0,3.22561815794351,0,45.3051238704931,31.0024137417903,20.7813127128155,0,0,9,FALSE,NA,2.45768228402289,0.0339799752080896,1.46877694232965
"576849","LOC102550607","RT4_ZT10_leading_edge_dataset","downregulated","intermediate",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-4.50951274420809e-07,0.537956284937139,1.21381531821792e-07,0.979440325887385,0.538061933487191,0.927260121561611,1,1,0.760270652684994,321.985743186615,1.53313141608821,0.746033861231564,1.25165979439324,1.0222834533297,0.52623006191184,0.598728369327921,FALSE,FALSE,FALSE,261.120523738278,313.602109317839,160.579474909498,242.727766385249,928.615227735636,480.234313027226,190.443398699569,97.3440437600305,545.190574292823,0,7,FALSE,0.00902201901309179,0.269167732096315,0.0339799752080896,1.46877694232965
