"percentile","rank_index","lo_rank","hi_rank","n_bin","iod_emp","cv2_emp","iod_nb","cv2_nb","iod_emp_scaled","cv2_emp_scaled","iod_nb_scaled","cv2_nb_scaled"
0.01,316,1,316,316,11.7358460575273,1.05614738160684,19.6233898342619,1.70775692974211,1,0.982802383087034,1,0.796747261447625
0.02,632,317,632,316,8.58922181535409,1.07358498066997,13.5478015793965,1.81238326180077,0.677119100057539,1,0.621640233239173,0.849290477460307
0.03,947,633,947,315,6.6352314376573,1.02075342022369,11.7818399220279,1.71568646738644,0.47661655413108,0.947895525400031,0.511664241983438,0.800729465555604
0.04,1263,948,1263,316,6.15859438916361,1.06479633049522,12.3808671980944,1.84745267954031,0.427707950078227,0.991332302208564,0.548968912897302,0.866902296162833
0.05,1579,1264,1579,316,5.96349162160174,1.05881900205015,12.2102847850738,1.8676601348173,0.407688096316427,0.985437235784046,0.538345822704791,0.87705045549131
0.06,1895,1580,1895,316,5.35583221297663,1.00858511412546,10.4009812163953,1.74765728059932,0.345335046948234,0.93589468365574,0.425670696029361,0.81678516885412
0.07,2211,1896,2211,316,4.7567036271871,0.958514449339597,9.2384367432165,1.60534456202358,0.283857360998871,0.886513108334093,0.353272759028154,0.745315895619111
0.08,2526,2212,2526,315,4.83016513759586,0.982917206496198,9.14631751417995,1.71519749963647,0.291395381673222,0.910580026473452,0.347535996010262,0.800483906549526
0.09,2842,2527,2842,316,4.42912838099738,0.938435879121825,9.22594450897179,1.77397062657057,0.250244262596133,0.866710866206885,0.352494799983388,0.829999699022379
0.1,3158,2843,3158,316,4.25222112138775,0.949276735745062,9.08019092729408,1.87848273620641,0.23209148336576,0.877402527285904,0.343417935512862,0.882485552674
0.11,3474,3159,3474,316,4.40613063596843,0.884523338286937,8.14003983469228,1.54991352346397,0.247884421687241,0.813540288036907,0.284869638097892,0.717478495840901
0.12,3790,3475,3790,316,3.94181673677102,0.896191532558298,8.57236020527915,1.6754397837376,0.20024031864521,0.825047900662845,0.311792567651292,0.78051763024469
0.13,4105,3791,4105,315,4.41068520284312,0.808453282597574,8.11657484201156,1.2141480986395,0.248351774169827,0.738517134243933,0.283408345991632,0.54885751010043
0.14,4421,4106,4421,316,4.139065640118,0.715921763822071,7.92506040564889,1.34616514914498,0.220480391346535,0.647259065600731,0.271481705404116,0.61515631142109
0.15,4737,4422,4737,316,3.92860908586728,0.738704667340421,7.19598282111862,1.18234529402644,0.198885057297901,0.669728423076785,0.226078097841917,0.532886180515291
0.16,5053,4738,5053,316,4.04697908452243,0.708882614524666,7.746942066557,1.18853245890357,0.211031220535226,0.640316791462435,0.260389312304459,0.535993367150321
0.17,5369,5054,5369,316,3.81597884724261,0.618069011637958,7.88262859915863,1.0072912865173,0.187327861392376,0.550752996167143,0.268839247137785,0.444974272017139
0.18,5684,5370,5684,315,4.56397282503722,0.794709927657048,7.89493050028269,1.46097186727234,0.264080898969899,0.7249629200135,0.269605353108888,0.672812104867911
0.19,6000,5685,6000,316,3.97844018941517,0.578925983960439,6.52747334086293,1.03431981606156,0.203998318469357,0.512148668107162,0.184446393977786,0.458547966501176
0.2,6316,6001,6316,316,4.20995742704416,0.547655322813135,8.28666382379322,0.922346624323532,0.227754727968768,0.481308364400242,0.294000707550031,0.402315166541965
0.21,6632,6317,6632,316,5.26230462528365,0.541020878982533,7.7334357794224,0.87970317251128,0.335738009183439,0.47476522603491,0.259548202697342,0.380899677190382
0.22,6948,6633,6948,316,3.79637044649709,0.516834217529202,6.59151187201176,0.899667395502095,0.185315807333207,0.45091142961649,0.188434419942149,0.39092568556219
0.23,7263,6949,7263,315,4.62389981786932,0.572288270903593,7.12262060586933,0.971055053734994,0.270230117906542,0.505602305507784,0.221509435601096,0.426776480227031
0.24,7579,7264,7579,316,5.10487303812201,0.44941991489333,7.43857000751902,0.603743978700007,0.319583664517546,0.384424905468928,0.241185315022429,0.242313307527904
