"feature_id","rank","diff_emp","diff_nb"
"523232",1,58.8922398824122,276.239106888685
"157795",1,268.663563029787,1032.92751058754
"116600",2,67.0394551867513,311.76367495758
"133139",2,128.385207223977,196.939174735659
"322426",3,43.9840880829688,109.277461657698
"32631",3,86.2408537986218,161.79298944098
"417259",4,64.0156947805039,129.777470706759
"534198",4,104.435466523664,496.613544459115
"49031",5,38.9446241177577,65.6002238879595
"135069",5,33.6371458746646,89.979310594339
"315962",6,22.1581854845741,60.3546024392917
"37466",6,59.1320559891648,130.586558463667
"157980",7,103.869694066834,126.021436463284
"120304",7,47.5653051415295,93.4499347018413
"22463",8,24.6397314642125,70.0389533606096
"191103",8,28.3083558575567,71.063828618737
"532248",9,35.9725824361356,73.1444955388397
"248384",9,55.2383303648921,170.165926910782
"431520",10,51.9862253076548,104.573421396334
"257893",10,36.1354533099923,74.3091763539847
"80920",11,53.8218704498484,72.3776449551578
"71209",11,462.51764997429,656.025588425476
"258201",12,39.7169018560632,81.3286468990148
"3656",12,60.7459967014968,109.671737330587
"424073",13,45.3955187025844,131.196598203185
"391876",14,23.3712508391542,51.3729466850527
"56517",14,112.742745082659,463.022936846921
"132931",15,36.2873173775725,93.9193376764016
"416922",15,71.2202817737567,84.0053994529499
"494885",16,107.366927605323,195.697926933365
"172745",16,27.1142975550237,134.252488173413
"350700",17,23.5881436993305,48.4493112624015
"242641",17,25.0471189040736,63.4180596610321
"60409",18,34.5151582783146,125.862117395684
"129813",18,35.8950136886034,139.08069006046
"482689",19,27.0749921800193,53.8846802066525
"22582",19,39.3575149185897,176.052218669679
"331759",20,35.6970978684284,96.9937010596006
"85211",20,24.1842907431493,49.0210098785989
"31707",21,16.783427781737,32.7668360833412
"313448",21,53.0992387547034,78.5897475522072
"514194",22,15.926726200025,42.8958493521595
"499613",22,52.4809837630841,85.4359840978739
"63560",23,16.1199763773341,31.6998980795958
"457865",23,96.5606762849818,351.295016595916
"84957",24,55.5632211886251,162.088662243975
"104836",24,48.0976727891491,113.486690178014
"94429",25,35.4087013151948,60.804228744747
"372804",25,30.850820910999,87.1551554101813
"299028",26,15.7915220211355,32.4423142199286
"83253",26,46.0088012584919,73.4203528176096
"146021",27,62.2716418462861,122.364658299007
"56594",27,60.2998143355921,99.274932761371
"461100",28,13.6686658284031,25.8074750801021
"92285",28,47.9493641030469,126.201768060947
"578125",29,21.6882348855378,47.8549071582886
"426214",29,32.8744968162115,70.2208265567546
"506016",30,16.3126055845935,42.6723481789621
"544520",30,24.7283679899122,91.24579080883
"72517",31,26.5268295542709,38.3105500205553
"125388",31,34.9196456820017,70.3217111845005
"290144",32,33.1418122849558,47.2668940730779
"481991",32,32.53197883657,49.0195793709028
"188226",33,14.1943197074157,36.5185352551254
"71208",33,67.7165511305456,108.719640320869
"458539",34,19.0527010788546,34.4658531718333
"354681",34,58.9174947594414,74.4915216184797
"307935",35,27.977355695584,88.2678881786925
"329429",35,1760.06007822888,3436.94235189155
"32243",36,10.6914286943839,26.4143672969565
"212124",36,37.4895208412132,86.3772502643692
"239113",37,26.7244360764326,43.5445980437063
"3039",37,32.1947638785927,97.5955634776799
"287232",38,26.2849530261098,61.9242914706416
"435218",38,23.5934975766128,145.84117141466
"29793",39,11.4867800722681,26.9356093912017
"359327",39,53.5442133485098,170.129878787376
"321025",40,12.9134833004488,30.258281303816
"541696",40,90.5379769358622,101.685850763565
"315170",41,15.83375036227,32.9140427233688
"220852",41,29.3489140655521,48.7805803803482
"489282",42,20.7263733309114,51.2191080360454
"209715",42,23.9144148382785,99.567221811181
"438243",43,24.28175815324,51.310432088142
"28553",43,21.0191910861992,38.6899665622967
"507464",44,12.6716259178856,29.2369741542039
"576013",44,42.8238329915354,124.117082293926
"121320",45,31.1888233873268,57.7105971190122
"539179",45,34.5315947771718,55.2863776747947
