"percentile","center_rank","lo_rank","hi_rank","iod_amplitude","cv2_amplitude","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","iod_amp_scaled","cv2_amp_scaled","center_distance","center_agreement","local_fourier_score"
0.01,302,1,1510,0.311946498832365,0.0787775357636395,755.5,755.5,0.244593670495612,0.36595061572439,0.937049402753931,0.215326952957716,0,1,2.15237635571165
0.02,604,1,1812,0.302724438642949,0.0556364743013306,906.5,906.5,0.261172896084138,0.38360302766358,0.90827304099788,0.130262991604195,0,1,2.03853603260208
0.03,906,1,2114,0.33212049447797,0.0611879789618601,1057.5,1057.5,0.261298625318079,0.38372757576211,1,0.15066970365871,0,1,2.15066970365871
0.04,1208,1,2416,0.331188700902919,0.0700318122642631,1208.5,861.5,0.269435536198801,0.393214225331853,0.99709244697531,0.183178648655805,347,0.0028735632183908,1.18314465884951
0.05,1510,302,2718,0.109424448851032,0.0628006213407317,1510,2081,0.271643329880884,0.410319765909528,0.305102998790051,0.156597597209177,571,0.00174825174825175,0.46344884774748
0.06,1813,605,3021,0.0548656537850623,0.0552803363254256,1813,2150.5,0.281707783981326,0.42170593031506,0.134858650830311,0.128953868119594,337.5,0.00295420974889217,0.266766728698797
0.07,2115,907,3323,0.0519535959817751,0.0478490022115132,2115,2520.5,0.285783087534781,0.431653204146325,0.125771914560893,0.101637112624149,405.5,0.002460024600246,0.229869051785288
0.08,2417,1209,3625,0.0216255886304804,0.0614270844858796,2417,2508,0.29011613698306,0.440634554798528,0.0311369096969415,0.151548628901086,91,0.0108695652173913,0.193555103815419
0.09,2719,1511,3927,0.0148153424010994,0.0410109370756618,2719,2406.5,0.296232514204742,0.451033344661614,0.00988633172203658,0.0765011477335009,312.5,0.00318979266347687,0.0895772721190143
0.1,3021,1813,4229,0.0286879101409619,0.0509224806002344,3021,3021,0.293756503728137,0.453479807791021,0.0531740591460852,0.112934876441288,0,1,1.16610893558737
0.11,3323,2115,4531,0.0361302019951281,0.0201993297454934,3323,3323,0.302282741054248,0.470601042645741,0.0763968616751111,0,0,1,1.07639686167511
0.12,3625,2417,4833,0.0441851766148955,0.0714849374300651,3625,3520.5,0.306302668553491,0.479495208712789,0.101531469217606,0.188520174719635,104.5,0.00947867298578199,0.299530316923023
