"percentile","center_rank","lo_rank","hi_rank","iod_amplitude","cv2_amplitude","iod_center","cv2_center","iod_residual_sd","cv2_residual_sd","iod_amp_scaled","cv2_amp_scaled","center_distance","center_agreement","local_fourier_score"
0.01,307,1,1533,0.284869534937641,0.0410330860217395,767,662,0.274018288121299,0.479830580767352,0.857196708138926,0.0866544513389118,105,0.00943396226415094,0.953285121741989
0.02,613,1,1839,0.330926934537766,0.0852096154246608,920,920,0.271945735899204,0.48457575915593,1,0.238876483504856,0,1,2.23887648350486
0.03,920,1,2146,0.328018773304507,0.0815717264210593,1073.5,1073.5,0.276973051947635,0.490606106005966,0.990983099328712,0.226341165216912,0,1,2.21732426454562
0.04,1226,1,2452,0.325762903545726,0.0378858616684635,1226.5,1226.5,0.277997419408813,0.4924768674918,0.983988661293552,0.07580984916638,0,1,2.05979851045993
0.05,1533,307,2759,0.103813663285533,0.0242458528108679,1533,1333,0.272157541921673,0.502417639241364,0.295823840648015,0.0288095552291342,200,0.00497512437810945,0.329608520255259
0.06,1839,613,3065,0.0603301014553189,0.0251007543296648,1839,1500,0.279319488363337,0.516098299037987,0.161000862687657,0.0317553467671271,339,0.00294117647058824,0.195697385925372
0.07,2146,920,3372,0.0502908703757137,0.0431906515566105,2146,2953,0.284865825869618,0.522339970709586,0.129873720070649,0.0940889197022764,807,0.00123762376237624,0.225200263535301
0.08,2452,1226,3678,0.0413698254587603,0.0642347219948035,2452,2452,0.290462868796297,0.534644298730078,0.10221357008298,0.166601885533703,0,1,1.26881545561668
0.09,2759,1533,3985,0.0490275785087534,0.086110345497005,2759,2834.5,0.294278561712074,0.544574216325174,0.125956819881981,0.241980189565481,75.5,0.0130718954248366,0.381008904872299
0.1,3066,1840,4292,0.0318823723920717,0.0633936251611674,3066,2937,0.297895461419115,0.546073080175707,0.072797243041866,0.163703661725837,129,0.00769230769230769,0.24419321246001
0.11,3372,2146,4598,0.0423156634827907,0.0774925063080167,3137,3372,0.304191454336888,0.555636578215673,0.105146188610548,0.212285122706282,235,0.00423728813559322,0.321668599452423
0.12,3679,2453,4905,0.032513448975267,0.0315473583996398,3679,3759.5,0.310393314091535,0.566339565908088,0.0747539278369077,0.0539688430594808,80.5,0.0122699386503067,0.140992709546695
0.13,3985,2759,5211,0.0391621029248178,0.0610096601822039,3985,3799,0.317755912974132,0.578360432589879,0.0953684149482992,0.155489073603704,186,0.0053475935828877,0.256205082134891
0.14,4292,3066,5518,0.0291579410509833,0.072115070636535,4259.5,4292,0.321501880380185,0.582104615219447,0.0643500061736376,0.193755731719301,32.5,0.0298507462686567,0.287956484161596
0.15,4598,3372,5824,0.0244546967809751,0.0299080969817532,4598,4088.5,0.330044105474531,0.598696955025558,0.049767359953592,0.0483203299767527,509.5,0.0019588638589618,0.100046553789307
0.16,4905,3679,6131,0.0230550094561301,0.0461778294267054,4905,4887.5,0.335898020281505,0.603875331872127,0.0454275587642182,0.104382038966573,17.5,0.0540540540540541,0.203863651784845
0.17,5212,3986,6438,0.0557180060417479,0.0720611601661854,5258,5212,0.341472602767714,0.613866706864105,0.146700828097048,0.193569968793545,46,0.0212765957446809,0.361547392635274
0.18,5518,4292,6744,0.0322890258102694,0.0351549744400868,5518,5821.5,0.350618544524539,0.629912508004642,0.074058092487761,0.0663998477665862,303.5,0.00328407224958949,0.143742012503937
0.19,5825,4599,7051,0.0278580399174363,0.0495085109261522,5522.5,5825,0.354084212852535,0.636149579389258,0.060319597106341,0.115858791739954,302.5,0.00329489291598023,0.179473281762275
0.2,6131,4905,7357,0.038459929011662,0.043319565566551,6131,6172.5,0.361333600005758,0.643591849725455,0.0931912892936119,0.0945331273580842,41.5,0.0235294117647059,0.211253828416402
0.21,6438,5212,7664,0.0191862231301106,0.0510794794360084,5825.5,6518,0.368717239504055,0.651428566387977,0.0334321915124989,0.121271983366166,692.5,0.00144196106705119,0.156146135945716
0.22,6744,5518,7970,0.0184512472064772,0.0524553173841725,6801.5,6375.5,0.371846274886701,0.661890323730327,0.0311533615688909,0.126012800520234,426,0.00234192037470726,0.159508082463833
0.23,7051,5825,8277,0.0373351749656051,0.0499060190558436,7051,7317,0.372609193258824,0.661464051437538,0.0897039326103102,0.117228512180241,266,0.00374531835205993,0.210677763142611
0.24,7357,6131,8583,0.0196223149866535,0.0686224646978355,7807,7366.5,0.375057002845175,0.66447707094282,0.0347843163221672,0.181721025038415,440.5,0.00226500566251416,0.218770347023097
0.25,7664,6438,8890,0.0493515484980016,0.0717286983987893,7659.5,7664,0.383025764381369,0.67617487538339,0.126961305183594,0.192424382969251,4.5,0.181818181818182,0.501203869971027
0.26,7971,6745,9197,0.0357517707310446,0.034937527071775,7971,7706.5,0.383430204918098,0.677779049073375,0.084794507870634,0.0656505747761333,264.5,0.00376647834274953,0.154211560989517
0.27,8277,7051,9503,0.0433075732789188,0.0668369442734351,8277,8282.5,0.386699584237942,0.683958931200586,0.108221654992631,0.175568537481119,5.5,0.153846153846154,0.437636346319904
0.28,8584,7358,9810,0.0372948313343976,0.0520633351021089,8584,8669,0.389151703299782,0.694316063497044,0.0895788451457101,0.124662120863973,85,0.0116279069767442,0.225868872986427
0.29,8890,7664,10116,0.0349386191599879,0.0690532652726678,9281.5,8890,0.389158918639911,0.699732952928754,0.0822732903868623,0.183205463491267,391.5,0.00254777070063694,0.268026524578766
0.3,9197,7971,10423,0.033103498068815,0.0486467428189124,9280.5,9197,0.394094060274968,0.705631971658961,0.0765834048297442,0.112889339537329,83.5,0.0118343195266272,0.2013070638937
0.31,9503,8277,10729,0.0369185110742026,0.0436473503286342,9256.5,9503,0.394101996322994,0.706591321987054,0.0884120451870403,0.0956625973112862,246.5,0.00404040404040404,0.18811504653873
0.32,9810,8584,11036,0.0405757319648019,0.0622864531377365,9810,9985.5,0.394750512212458,0.714073043769357,0.0997514431290649,0.159888604779494,175.5,0.0056657223796034,0.265305770288162
0.33,10116,8890,11342,0.0244939108769407,0.0475590042966819,9988,10448,0.39202820352218,0.712030673329188,0.04988894523717,0.109141245910305,460,0.00216919739696312,0.161199388544438
0.34,10423,9197,11649,0.0501269982546932,0.100441192883806,10423,10465,0.393346309195223,0.714553486802824,0.129365626289212,0.291360952186789,42,0.0232558139534884,0.443982392429489
0.35,10730,9504,11956,0.029462326277396,0.0452586264151715,11150,10615.5,0.395456550564874,0.718818080594508,0.0652937679296854,0.101214679459615,534.5,0.00186741363211951,0.16837586102142
0.36,11036,9810,12262,0.0306960222109708,0.0681778264638767,11191.5,11036,0.395429287375889,0.716473733616913,0.0691189044332588,0.18018890523483,155.5,0.00638977635782748,0.255697586025917
0.37,11343,10117,12569,0.0164473567651168,0.0343627149801002,11185,11517.5,0.39721126653628,0.722554457532808,0.0249401981241525,0.0636699061747084,332.5,0.00299850074962519,0.091608605048486
0.38,11649,10423,12875,0.0116229201670866,0.0393832741791557,11649,11252,0.397916326662747,0.722568874067725,0.00998178897480313,0.0809695839497378,397,0.00251256281407035,0.0934639357386112
0.39,11956,10730,13182,0.0221280724449623,0.0242264223331468,11956,12097.5,0.401342234759431,0.729140118847449,0.0425535437809175,0.0287426023280205,141.5,0.00701754385964912,0.0783136899685872
0.4,12262,11036,13488,0.00840355990203132,0.015884998961029,12262,12326,0.401637320481341,0.723755071534668,0,0,64,0.0153846153846154,0.0153846153846154
0.41,12569,11343,13795,0.0203312969304015,0.0564830536119988,13242,12569,0.401151697878794,0.73051706303328,0.0369825506192896,0.139891441552356,673,0.00148367952522255,0.178357671696868
0.42,12876,11650,14102,0.0552528076855498,0.126894118074047,12876,13845.5,0.401466002171218,0.725755376262763,0.145258457116267,0.382511571839721,969.5,0.00103039670273055,0.528800425658718
0.43,13182,11956,14408,0.0225972124346212,0.0594231057303945,13853.5,13166.5,0.399026828382397,0.723752784290177,0.0440081359951677,0.15002217645129,687,0.00145348837209302,0.195483800818551
0.44,13489,12263,14715,0.0492525580138902,0.142826202129669,12512,13611.5,0.400373717735245,0.737943580037739,0.126654380191807,0.437409823113959,1099.5,0.000908677873693776,0.564972881179459
0.45,13795,12569,15021,0.0237675606337548,0.0843716348181352,14169.5,13598.5,0.399275590021953,0.728336548374845,0.0476368596511056,0.235988997489883,571,0.00174825174825175,0.285374108889241
0.46,14102,12876,15328,0.0421684936895302,0.104892856887668,14102,14992,0.397407753330734,0.727676266596869,0.104689881239255,0.306700349607697,890,0.00112233445566779,0.41251256530262
0.47,14408,13182,15634,0.0240870874593969,0.0760703334160655,14447,14408,0.396004269105496,0.733751535582663,0.0486275686997227,0.207384646126748,39,0.025,0.28101221482647
0.48,14715,13489,15941,0.0691790593882128,0.226818885521845,14715,14715,0.397526882926072,0.734323002506157,0.1884375033432,0.726829049246791,0,1,1.91526655258999
0.49,15021,13795,16247,0.0378819877379675,0.108345449630691,15376,14124.5,0.395956699735518,0.726024290495251,0.0913993532072825,0.318597180134852,1251.5,0.000798403193612774,0.410794936535747
0.5,15328,14102,16554,0.103795553442848,0.306096138402147,16273.5,15328,0.391648643223728,0.733599651595867,0.295767690166811,1,945.5,0.00105652403592182,1.29682421420273
