"feature_id","gene_symbol","R0_1","R0_2","R0_3","R0_4","R0_5","ZT6_1","ZT6_2","ZT6_3","ZT6_4","ZT6_5"
"448596","Sel1l",56,41,107,26,11,204,112,27,159,44
"572137","Stard8",9,18,28,0,0,32,28,26,33,8
"236251","Dtwd2",4,3,0,0,0,4,4,0,6,0
"425369","Sec61b",44,8,21,24,4,35,14,14,51,3
"489765","-",0,0,0,0,7,3,0,0,0,9
"289937","LOC120100738",5,0,0,0,0,0,0,0,0,19
"33348","Lama2",14,0,3,0,3,0,0,4,0,15
"278141","Pdzk1",4,16,4,4,0,6,0,6,3,8
"414692","Map7d1",0,0,0,6,3,3,0,3,0,3
"178738","Slc39a14",0,5,9,12,13,11,0,0,0,8
"460677","Mdga2",0,3,0,6,6,4,0,0,0,7
"131735","Fbrsl1",58,31,45,10,0,86,42,20,42,18
"23650","Ifitm3",0,18,8,11,9,40,19,3,24,8
"405589","-",0,0,0,0,6,0,0,3,0,3
"403050","Ndufaf6",0,14,5,20,9,20,0,6,12,11
"334706","Pak5",0,0,0,0,22,0,0,0,0,5
"165868","Kdr",0,7,7,13,15,17,4,15,12,30
"524250","Pdcd7",0,0,4,0,7,14,3,0,0,99
"301317","Pogz",0,0,0,0,3,4,0,3,0,10
"218541","-",24,5,3,3,0,11,3,11,3,12
"532446","Nrtn",3,0,3,0,0,4,0,0,0,14
"132847","Kdsr",8,8,4,11,24,20,0,8,0,47
"164952","Ankrd17",0,0,25,0,0,18,20,0,17,0
"189782","Htr2a",13,5,25,11,3,86,39,11,42,3
"112328","-",3,0,12,0,0,0,6,0,0,0
"489062","Ntn4",0,0,0,11,3,0,0,0,0,7
"173329","Sptbn1",0,0,0,5,4,10,0,0,3,19
"415611","-",4,10,3,23,12,9,0,12,8,21
"220158","Upf2",11,0,29,3,3,35,19,6,38,3
"440510","Babam2",4,22,99,41,0,50,63,16,69,26
"208249","Cdkn2aip",10,6,3,6,0,5,0,9,3,4
"277090","Efna1",7,7,3,3,0,7,3,0,17,3
"537882","-",3,0,7,0,0,11,7,4,0,29
"345802","Ppig",3,13,3,19,9,18,0,22,8,48
"145497","Il19",16,7,5,0,0,0,0,0,14,0
"513995","Cpne4",19,5,19,5,0,7,11,0,10,12
"24519","Tcirg1",4,0,9,0,0,11,5,0,9,4
"35860","-",0,15,9,15,6,0,0,0,0,13
"565136","Thoc2",4,4,5,8,0,13,0,0,0,22
"275543","Serpini1",0,4,5,9,14,20,0,6,7,7
"186760","-",8,0,3,3,0,15,9,0,11,6
"327172","Abcb11",3,7,0,18,12,11,0,8,6,7
"464221","Nrxn3",0,0,0,6,3,11,0,0,0,10
"292798","Impa1",4,9,7,35,31,17,3,6,7,37
"346866","Ube2e3",6,10,3,7,0,10,7,9,15,0
"225992","-",0,0,0,6,3,3,0,0,0,9
"556757","LOC102555453",3,10,36,4,0,50,34,11,78,21
"34750","-",51,11,16,16,8,8,4,12,0,30
"251394","Fbxw9",27,11,27,11,0,86,29,12,71,23
"373278","Mgll",15,56,85,33,3,62,89,27,103,23
"49684","Arrb1",3,0,11,4,0,14,13,0,10,5
"332066","Rhov",16,35,8,56,67,40,13,27,26,152
"434801","Mecr",0,7,7,14,6,12,6,5,9,0
"436090","LOC120103014",3,0,0,8,5,0,0,4,0,12
"216692","Bphl",0,0,4,0,6,0,7,0,10,0
"5055","Prkn",3,0,26,7,0,0,9,0,8,3
"62682","Nanos1",0,0,0,0,3,0,0,3,0,9
"134454","Rassf5",18,18,8,4,0,55,11,5,19,6
"532658","-",0,3,0,3,3,3,3,0,4,0
"175987","Hnrnpc",7,4,0,0,0,12,4,4,11,0
"485958","-",0,4,0,0,4,3,3,0,10,0
"84208","-",9,0,17,12,0,14,4,7,11,0
"70386","Akap10",0,0,0,3,3,0,0,0,0,10
"8180","Bloc1s3",0,6,0,4,5,9,0,3,0,3
"396866","Lmcd1",6,7,3,5,0,9,0,8,8,11
"474186","Trhde",10,11,7,20,39,21,3,7,5,67
"91723","Tmem98",39,26,8,21,0,29,15,5,13,6
"276090","-",3,0,3,0,0,3,3,0,4,0
"403044","Plekhf2",32,7,0,29,30,28,6,15,0,41
"565828","Hs6st2",0,3,6,21,34,18,0,0,3,14
"233207","Celf4",0,15,12,0,0,25,14,5,42,0
"270094","LOC100363110",102,158,518,171,26,253,329,76,291,77
"369345","Cntnap2",0,6,3,3,4,0,0,6,0,9
"38083","LOC103691060",0,7,0,0,4,5,0,4,0,9
"5258","Pde10a",0,0,0,4,5,20,0,9,11,8
"224974","Jarid2",0,0,0,0,4,0,4,0,4,0
"480402","Ptk2",0,0,0,4,6,0,0,0,0,6
"318796","LOC100361018",0,0,0,0,3,12,0,4,0,9
"345806","Ppig",4,0,6,0,0,5,6,0,9,4
"363496","Magi2",9,5,0,3,0,0,0,4,0,4
"410323","Psip1",0,0,12,5,11,27,0,4,11,16
"440088","Slc30a6",0,19,15,26,9,48,20,17,41,5
"61996","Smc3",0,0,0,7,3,6,0,0,0,9
"9591","Dpf1",0,0,0,0,6,0,0,0,0,9
"323144","Phf19",3,4,7,3,0,7,0,6,7,13
"93841","Igf2bp1",9,0,26,0,0,0,3,3,6,0
"576706","Rab33a",43,47,9,13,6,21,0,19,11,15
"324904","Zeb2",0,24,0,74,36,44,8,8,31,104
"487926","Nfyb",7,0,0,0,0,3,0,3,5,14
"525370","Sltm",14,11,13,8,0,33,9,0,7,9
"160312","Gas2l1",4,23,4,17,18,12,6,9,0,35
"187433","Jph4",0,9,5,21,30,7,8,0,15,12
"35867","Oprm1",5,0,7,9,0,5,0,0,0,18
"205423","Ncan",0,0,0,19,4,3,0,0,3,14
"17277","Hdgfl3",5,0,4,4,0,12,6,3,10,0
"316117","Srsf3",14,4,6,6,0,18,5,0,4,3
"556815","-",5,0,6,4,0,0,6,6,17,0
"384469","Nxph1",9,3,0,9,0,5,0,16,4,18
"239756","-",5,12,4,8,0,9,10,0,9,4
"252068","Rnf150",0,0,0,4,3,0,0,0,0,9
"237563","Spire1",0,0,0,0,3,0,0,4,0,7
"41417","-",0,0,0,8,8,8,3,0,0,26
"487782","Nuak1",58,16,25,23,7,45,29,4,54,13
"149437","Rxrg",27,7,43,3,4,66,42,6,70,33
"529376","Rbm6",3,4,9,8,0,4,3,0,7,0
"17923","Picalm",10,0,0,3,0,0,0,3,0,6
"120007","LOC100362783",3,0,4,0,0,12,0,0,0,13
"178657","RGD1308117",0,0,4,3,4,3,3,0,10,0
"279117","Rap1a",8,6,22,17,0,25,12,4,18,5
"161418","Actr2",0,3,0,0,11,12,0,0,0,8
"193374","Ipo5",18,25,0,3,0,12,0,11,3,3
"426355","-",16,6,78,21,0,14,0,12,15,6
"386602","Copg2",0,6,3,21,7,9,0,0,15,0
"518435","RGD1561444",8,5,4,12,0,9,0,7,4,8
"185399","Psmd6",28,10,0,14,0,8,0,3,0,3
"453052","Slc8a1",20,7,14,9,0,22,22,12,17,6
"500299","Dazap2",0,11,0,6,5,4,3,3,0,13
"366097","Cttnbp2",16,0,7,0,3,4,11,0,16,6
"51565","Spon1",25,25,0,44,31,20,5,15,6,55
"28451","Atad1",15,3,3,0,0,20,5,0,20,10
"358561","-",7,0,13,0,0,5,0,0,0,6
"469442","Ankrd24",5,0,0,0,0,5,0,0,0,20
"516817","Gucy1a2",5,0,7,6,0,6,5,3,11,0
"386586","Copg2",0,0,0,5,17,0,0,0,13,0
"280457","Dpyd",5,14,5,24,0,13,0,15,14,23
"412312","Cc2d1b",3,0,16,9,20,27,9,9,0,62
"275218","-",0,6,4,6,5,4,0,0,0,16
"319481","Hsf2",4,10,0,6,18,6,0,10,13,11
"15581","Pcsk6",6,6,0,0,0,0,0,0,0,10
"457316","Hdac9",3,0,14,7,0,17,10,8,12,0
"461783","-",0,0,0,0,6,5,0,0,0,10
"194235","-",3,3,5,4,0,0,3,0,9,0
"20049","-",191,120,341,34,72,675,342,90,575,110
"551072","Ccnyl1",0,7,0,0,8,6,0,0,0,10
"256614","Hmox1",0,4,0,0,7,0,0,3,0,3
"403423","Osgin2",0,4,0,5,3,0,0,0,0,10
"133344","-",6,8,18,13,0,22,21,0,14,20
"315928","Zfp523",35,28,28,6,3,48,20,0,44,48
"137876","Rabgap1l",4,12,0,0,0,8,0,9,0,3
"199929","Sgcz",0,3,0,4,3,0,0,4,0,3
"35714","Akap12",4,6,3,74,22,28,3,6,20,56
"398668","Zfp384",6,7,0,0,0,14,0,5,3,8
"522991","Imp3",34,24,79,20,7,130,70,22,158,30
"3969","Syne1",35,26,172,32,13,145,106,22,142,23
"255126","Exoc8",15,0,48,9,4,53,42,8,73,7
"112303","RGD1559516",0,10,0,11,3,12,0,3,4,10
"340585","Olfm1",48,66,10,69,133,245,72,26,35,8
"349710","LOC100362814",6,7,8,12,0,3,9,17,16,0
"572122","Yipf6",0,0,0,6,3,14,4,3,6,0
"141699","Mark1",10,4,0,6,0,0,0,6,0,4
"229167","-",0,0,0,0,3,4,5,0,5,0
"387688","Ubn2",9,0,0,3,0,0,0,3,0,7
"396836","Grm7",11,12,0,4,0,3,3,0,3,0
"567375","Uxt",0,3,20,0,0,12,15,0,26,4
"290292","-",0,0,0,0,6,6,0,0,0,10
"357695","-",0,4,0,3,4,3,0,0,0,10
"322602","Stxbp1",4,0,3,4,0,18,3,0,11,0
"12933","Ube3a",6,0,0,0,0,17,0,0,0,17
"31957","Katna1",11,11,20,0,0,57,26,12,33,13
"400635","-",7,6,6,0,0,0,6,4,3,0
"333559","Kcnip3",0,0,0,3,4,8,0,0,0,9
"236338","-",11,8,5,0,4,3,5,0,12,0
"229190","-",10,7,3,4,0,8,0,0,0,8
"557507","RGD1564613",4,7,0,17,14,9,3,15,13,32
"243520","-",4,4,12,3,0,0,6,4,6,0
"206028","Npy5r",3,0,5,5,0,10,7,0,7,0
"357288","Ergic3",34,115,239,33,22,464,258,66,442,21
"170277","Sorcs2",0,6,3,4,4,8,6,0,4,0
"518030","Icam5",63,178,482,76,31,570,398,78,547,87
"553279","Cab39",11,3,0,0,0,6,0,6,5,6
"9346","Zfp36",4,9,0,0,0,3,0,3,3,13
"342800","Lrp1b",14,16,17,5,4,6,11,4,13,0
"219696","Klf6",14,12,31,6,4,108,46,17,86,11
"170504","Zfyve28",82,42,155,20,20,300,149,38,124,46
"439400","-",0,0,0,0,8,11,7,0,10,6
"366606","Tmem229a",0,0,0,5,5,0,0,0,0,6
"87147","RGD1308564",10,4,0,11,0,3,0,3,0,12
"455946","-",0,0,0,15,4,4,0,3,4,6
"89420","Rabep1",8,39,6,46,38,43,15,40,7,65
"256401","Nudt21",0,0,0,7,5,10,0,0,0,7
"82289","Rsl1d1",16,11,8,0,7,41,23,0,30,9
"113277","-",20,16,24,24,4,17,10,5,30,0
"326003","Baz2b",0,4,0,8,6,4,0,5,12,9
"141568","Mia3",13,28,8,36,46,25,3,24,15,56
"95624","LOC120095189",53,18,82,42,3,30,29,6,59,23
"566185","-",10,10,3,6,0,15,0,0,5,25
"17928","Ccdc83",19,6,26,5,4,0,4,0,3,0
"257118","-",224,76,662,107,37,79,220,40,205,95
"26294","Sdhaf2",0,8,0,3,4,17,3,4,15,0
"453718","Rasgrp3",13,6,6,4,0,0,3,3,7,0
"95225","Acbd4",0,4,0,8,5,15,7,0,4,4
"60915","Fbxw4",126,85,400,78,4,88,137,25,91,73
"183098","Hs6st3",42,25,63,15,8,30,62,12,51,18
"544502","Rpl36",3,0,3,6,11,9,0,3,3,27
"405617","-",4,0,0,0,0,0,0,0,0,25
"199679","Mtmr7",5,0,0,0,0,0,0,3,0,6
"325147","Acvr2a",13,8,10,0,0,4,3,0,0,0
"421766","Fam110b",25,28,58,3,8,143,52,14,79,23
"263884","Xrcc4",0,0,0,4,5,7,6,0,11,6
"152864","Zfp326",0,6,5,3,10,4,0,0,0,10
"174797","-",0,0,6,3,9,0,0,3,5,9
"546822","LOC120094653",0,0,0,0,3,7,0,3,0,9
"458591","-",0,3,9,22,31,0,4,0,0,25
"424275","-",10,4,0,15,0,3,0,9,0,12
"276700","Arhgef11",5,7,8,6,0,10,7,4,4,0
