"comparison_name","feature_id","gene_symbol","pc1_loading_trt_normalized","pc1_loading_ctrl_normalized","pc1_loading_trt_raw","pc1_loading_ctrl_raw","baseMean_original","baseMean_leading_edge","baseMean_remainder","dispGeneEst_original","dispFit_original","dispersion_original","dispGeneEst_leading_edge","dispFit_leading_edge","dispersion_leading_edge","dispGeneEst_remainder","dispFit_remainder","dispersion_remainder"
"RT0_ZT6","100020","Nrip1",-0.0006757798156639,0.000718515879570529,-0.000522764591868836,-0.000213978800279025,19.6146159733904,NA,19.2509841486193,0.661531060204682,0.54409883353095,0.607197901811497,NA,NA,NA,0.640001329774707,0.21854919616006,0.34901983115614
"RT0_ZT6","100055","-",-2.36633328889765e-05,9.14813800241628e-05,-2.84944654364749e-05,-2.2425634903585e-05,1.18415664088307,NA,1.16546217724955,9.20765702541585,6.95026523585153,7.60778010624718,NA,NA,NA,9.16839385593262,6.08816129337778,6.65682682347688
"RT0_ZT6","10008","Mag",4.99853213889706e-05,0.000384221796101484,6.14252749316441e-05,-9.41876665950571e-05,2.58804930362242,NA,2.56487325227112,7.1622283276676,3.25195597759888,4.65157808208691,NA,NA,NA,7.16480520702366,2.74691698625875,3.77845504634103
"RT0_ZT6","100116","-",-2.44986745174796e-05,-8.60553855782335e-06,-1.47787925593059e-05,-2.81760850238511e-05,3.26048460482924,NA,3.22767742644327,1.42953492004277,2.60860668733463,2.0655702306561,NA,NA,NA,1.41389905540217,2.11483100312312,1.89979427104358
"RT0_ZT6","100129","Btg3",0.00102531291393932,-0.00137763713635904,0.00111178815531386,-0.00138636825221426,65.2649259967856,65.283725552985,NA,0.152262785292202,0.256203190318286,0.189440762252258,0.140214755861533,0.345318603426215,0.210098794869034,NA,NA,NA
"RT0_ZT6","100144","RGD1563888",9.37878804420972e-05,-0.000238895050802056,8.95424658298111e-05,-0.00022262648239401,4.50711575154444,NA,4.5038802746415,2.10312367545677,1.92373670961576,2.00253386908045,NA,NA,NA,2.13844139443424,1.4193654601506,1.62156501010444
"RT0_ZT6","100145","RGD1563888",7.81786464224071e-05,8.8019071282389e-05,7.24832028794287e-05,1.78961483750638e-05,1.27718382480199,NA,1.27487665311894,4.49516663379435,6.45367482310383,5.67643080775576,NA,NA,NA,4.5438960464862,5.67316832683445,5.37351710779247
"RT0_ZT6","10017","Usf2",-0.000473360554317335,0.00200508177145031,-0.000279136472807529,-0.00153513732417102,98.0453300798917,98.6570967884497,NA,0.26770506348972,0.214845282500465,0.247605410732403,0.267508350151596,0.270304481252192,0.269025008396048,NA,NA,NA
"RT0_ZT6","10018","Usf2",-0.00061258862015342,-3.31085317809058e-05,-0.000561502274886743,-8.20861900787253e-05,18.124751551708,NA,17.7871452110754,0.630479462424962,0.577932253404194,0.611674552123693,NA,NA,NA,0.623768309349585,0.242073415020541,0.405329229290689
"RT0_ZT6","100191","-",-0.000215575509186801,-0.000157213693750674,-0.000187662019185087,5.36081687940307e-05,7.45438540446193,NA,7.38394243493311,0.617230542949113,1.21552950788447,0.85484050071191,NA,NA,NA,0.620327481815197,0.758536518518177,0.701705578789442
"RT0_ZT6","100193","LOC680960",-0.00010200967398119,5.48888280144977e-05,-6.17221798102178e-05,-1.3455380942151e-05,3.02568330948497,NA,2.97618146078877,1.74003624911148,2.80075911951053,2.37917162189669,NA,NA,NA,1.73459521991999,2.32093479831155,2.17028920841473
"RT0_ZT6","100197","-",0.000185226091508247,2.47131331002395e-05,0.000193302060447124,-1.9237435846051e-05,6.39228371582151,NA,6.38137678982863,0.262867738022708,1.39547842395197,0.726028746305994,NA,NA,NA,0.288744854206986,0.911292793545496,0.661497601370967
