"crossing_id","idx_left","idx_right","percentile_left","percentile_right","rank_left","rank_right","regime_difference_left","regime_difference_right","crossing_percentile","crossing_rank","left_window_positive_frac","right_window_negative_frac","stable_crossing"
"crossing_1",6,7,0.1,0.11,2991,3290,0.0398662936584544,-0.018562758936735,0.10682302585576,3195,1,0,FALSE
"crossing_2",7,8,0.11,0.12,3290,3589,-0.018562758936735,0.0418785662331887,0.113071203168453,3382,1,0,FALSE
"crossing_3",8,9,0.12,0.13,3589,3888,0.0418785662331887,-0.0524706255727978,0.124438677791677,3722,1,0.333333333333333,FALSE
"crossing_4",9,10,0.13,0.14,3888,4188,-0.0524706255727978,0.00156155588128393,0.139710995218172,4179,1,0.333333333333333,FALSE
"crossing_5",10,11,0.14,0.15,4188,4487,0.00156155588128393,-0.081437899276433,0.140188140497828,4194,1,0.666666666666667,FALSE
