"crossing_id","idx_left","idx_right","percentile_left","percentile_right","rank_left","rank_right","regime_difference_left","regime_difference_right","crossing_percentile","crossing_rank","left_window_positive_frac","right_window_negative_frac","stable_crossing"
"crossing_1",16,17,0.2,0.21,6281,6595,0.0171856797041353,-0.0516931999162328,0.202495057962449,6359,1,0,FALSE
"crossing_2",18,19,0.22,0.23,6909,7223,-0.0432273090756484,0.0126817723052728,0.227731715136067,7152,1,0.333333333333333,FALSE
"crossing_3",19,20,0.23,0.24,7223,7537,0.0126817723052728,-0.0363791786179563,0.232584901447409,7304,1,0.666666666666667,FALSE
"crossing_4",23,24,0.27,0.28,8480,8794,-0.0352193863671191,0.0268388441514972,0.275675216014507,8658,0.333333333333333,1,FALSE
"crossing_5",25,26,0.29,0.3,9108,9422,0.0101923986829268,-0.0439764208478674,0.291881598818511,9167,0.333333333333333,0.666666666666667,FALSE
"crossing_6",27,28,0.31,0.32,9736,10050,-0.0278635991632059,0.000724414101573867,0.319746602152845,10042,0,0.333333333333333,FALSE
"crossing_7",29,30,0.33,0.34,10364,10678,0.0253416426135537,-0.0170276284440157,0.335981137267885,10552,0.666666666666667,0.666666666666667,FALSE
"crossing_8",30,31,0.34,0.35,10678,10992,-0.0170276284440157,0.0287710230131102,0.343717932275791,10795,0.666666666666667,0.333333333333333,FALSE
"crossing_9",31,32,0.35,0.36,10992,11306,0.0287710230131102,-0.0708093768506259,0.352889225495427,11083,0.333333333333333,0.333333333333333,FALSE
"crossing_10",45,46,0.49,0.5,15389,15703,-0.0227512411155568,0.00856496866802772,0.49726500469654,15617,0,1,FALSE
"crossing_11",46,47,0.5,0.51,15703,16017,0.00856496866802772,-0.0361258784677718,0.501916492798179,15763,0,1,FALSE
"crossing_12",50,51,0.54,0.55,16959,17273,-0.0599016913378127,0.00587572181239693,0.549106726529519,17245,0.333333333333333,1,FALSE
"crossing_13",51,52,0.55,0.56,17273,17587,0.00587572181239693,-0.026160642861105,0.551834078826446,17331,0.333333333333333,1,FALSE
"crossing_14",62,63,0.66,0.67,20728,21042,-0.0552740340642607,0.0195675828171782,0.667385467653889,20960,0,1,FALSE
"crossing_15",63,64,0.67,0.68,21042,21356,0.0195675828171782,-0.029315553425817,0.674002931137624,21168,0,1,FALSE
"crossing_16",67,68,0.71,0.72,22298,22612,-0.0845920120280979,0.00665798017626866,0.719270358274513,22589,0.333333333333333,1,FALSE
"crossing_17",68,69,0.72,0.73,22612,22926,0.00665798017626866,-0.0118797240825494,0.723591588302042,22725,0.333333333333333,1,FALSE
"crossing_18",85,86,0.89,0.9,27951,28265,-0.0453896905831527,0.0143466975699075,0.89759833193578,28190,0,1,FALSE
"crossing_19",87,88,0.91,0.92,28579,28894,0.049413524630195,-0.0620132166790419,0.91443461991705,28719,0,0.666666666666667,FALSE
