"percentile","rank_index","lo_rank","hi_rank","n_bin","diff_emp","diff_nb"
0.01,317,1,317,317,21.5398919065561,47.1628307014951
0.02,633,318,633,316,13.0335122995498,26.3220123395098
0.03,950,634,950,317,11.0848411588366,21.1102316249082
0.04,1266,951,1266,316,9.5750420956838,20.0300482822053
0.05,1583,1267,1583,317,8.99483886789153,17.2544319614339
0.06,1899,1584,1899,316,8.25668774984412,15.5163528949781
0.07,2216,1900,2216,317,7.99698447221693,14.6914850781752
0.08,2533,2217,2533,317,7.78259594901817,14.4297773146168
0.09,2849,2534,2849,316,7.01939104801556,13.1351590142216
0.1,3166,2850,3166,317,7.32802423711733,13.1320413733912
0.11,3482,3167,3482,316,6.65957481830725,11.9301858054102
0.12,3799,3483,3799,317,6.68286363243844,12.2806815993746
0.13,4116,3800,4116,317,6.30848500666088,11.3029822506162
0.14,4432,4117,4432,316,6.20958546583814,11.2123879938284
0.15,4749,4433,4749,317,5.78659027094459,10.3392803998477
0.16,5065,4750,5065,316,7.13841644296836,12.2644587759609
0.17,5382,5066,5382,317,5.73959782371003,10.2784150452054
0.18,5698,5383,5698,316,6.0931245278346,10.6383171182578
0.19,6015,5699,6015,317,5.75756300580384,9.87461626423765
0.2,6332,6016,6332,317,6.54104634791876,11.271093002186
0.21,6648,6333,6648,316,7.76463353603495,13.8457753288827
0.22,6965,6649,6965,317,5.54106153346059,9.29268989792367
0.23,7281,6966,7281,316,6.55114773842941,12.0538150068485
0.24,7598,7282,7598,317,6.86159417351433,12.089215932636
0.25,7914,7599,7914,316,5.37938155924657,10.1429737705961
0.26,8231,7915,8231,317,6.3322583916681,12.0115222663539
0.27,8548,8232,8548,317,7.17080449910887,12.2705234096905
0.28,8864,8549,8864,316,7.14416331159964,12.4276602665087
0.29,9181,8865,9181,317,7.09807771968323,13.5998855797469
0.3,9497,9182,9497,316,4.97736815682238,10.4860709234731
0.31,9814,9498,9814,317,7.0370198311867,11.6340953248324
0.32,10131,9815,10131,317,7.19974944289964,12.2097475811548
0.33,10447,10132,10447,316,6.89017935102413,11.3831057825223
0.34,10764,10448,10764,317,6.97202448859964,11.8805664131051
