"rank","feature_id","abs_pc1_loading","mu","empirical_variance.x","nb1_mu","nb2_variance_minus_mu","alpha_hat","alpha_mu","log_nb1","log_nb2","nb_gap","log_alpha_mu","combined_nb_support","empirical_variance.y","log1p_empirical_variance","smooth_log1p_empirical_variance","d1","d2"
1,"615",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
2,"926",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
3,"1110",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
4,"3346",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
5,"3458",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
6,"4124",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
7,"4233",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
8,"5250",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
9,"5332",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
10,"6683",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
11,"7592",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
12,"7955",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
13,"7995",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
14,"8035",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
15,"8127",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
16,"8269",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
17,"8739",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
18,"8841",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
19,"9593",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
20,"9936",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
21,"9942",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
22,"10440",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
23,"10794",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
24,"10879",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
25,"10937",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
26,"11309",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
27,"11317",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
28,"11527",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
29,"11859",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
30,"12443",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
31,"13454",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
32,"15944",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
33,"15997",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
34,"16178",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
35,"16715",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
36,"16970",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
37,"17205",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
38,"17327",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
39,"18087",0,0,0,0,0,0,0,0,0,0,0,0.119729054193295,0,0,0,0,0
