"rank","feature_id","gene_symbol","region","abs_loading","mu","variance","nb1","nb2","alpha_mu","log_nb1","log_nb2","log_alpha_mu","nb_gap","nb_support","var_fit","d1","d2"
43,"22698","Ate1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.227419304691634,0.000224428153066495,3.42211033644636e-08
44,"22789","Cuzd1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.227194859081295,0.000224463414331655,3.63014269549074e-08
45,"22966","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.226970377169529,0.000224500755920405,3.83817505453512e-08
46,"22967","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.226745856876013,0.000224540177832746,4.0462074135795e-08
47,"23058","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.226521296120422,0.000224581680068677,4.25423977262388e-08
48,"23669","Ptdss2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.226296692822434,0.000224625262628198,4.46227213166828e-08
49,"24206","Cars","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.226072044901725,0.00022467092551131,4.67030449071264e-08
50,"24938","Peli3","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.22584735027797,0.000224718668718012,4.87833684975702e-08
51,"24944","Npas4","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.225622606870848,0.000224768492248305,5.0863692088014e-08
52,"25630","Vegfb","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.225397812600033,0.000224820396102188,5.29440156784578e-08
53,"26322","Cd5","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.225172965385202,0.000224874380279662,5.50243392689016e-08
54,"27331","Apba1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.224948063146032,0.000224930444780726,5.71046628593454e-08
55,"28759","Pcgf5","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.224723103802199,0.000224988589605381,5.91849864497892e-08
56,"29101","Sorbs1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.22449808527338,0.000225048814753626,6.12653100402326e-08
57,"29295","Tctn3","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.224273005479251,0.000225111120225461,6.33456336306767e-08
58,"29511","Exosc1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.224047862339488,0.000225175506020887,6.54259572211206e-08
59,"30104","Psd","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.223822653773768,0.000225241972139904,6.75062808115643e-08
60,"30561","Sorcs1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.223597377701767,0.00022531051858251,6.95866044020081e-08
61,"30795","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.223372032043162,0.000225381145348708,7.16669279924519e-08
62,"31146","Ablim1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.223146614717628,0.000225453852438495,7.37472515828957e-08
63,"31432","Hspa12a","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.222921123644844,0.000225528639851873,7.58275751733395e-08
64,"31758","Eif3a","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.222695556744484,0.000225605507588842,7.79078987637833e-08
65,"31827","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.222469911936225,0.000225684455649401,7.99882223542271e-08
66,"31868","Lrp11","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.222244187139744,0.00022576548403355,8.20685459446709e-08
67,"32323","Plagl1","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.222018380274716,0.00022584859274129,8.41488695351147e-08
68,"33218","Hbs1l","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.22179248926082,0.000225933781772621,8.62291931255585e-08
69,"33631","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.22156651201773,0.000226021051127541,8.83095167160023e-08
70,"34738","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.221340446465123,0.000226110400806053,9.03898403064461e-08
71,"34966","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.221114290522677,0.000226201830808154,9.24701638968899e-08
72,"35074","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.220888042110066,0.000226295341133846,9.45504874873337e-08
73,"35207","Adcy2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.220661699146968,0.000226390931783129,9.66308110777775e-08
74,"37691","LOC100365363","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.220435259553058,0.000226488602756002,9.87111346682213e-08
75,"38230","Peg3","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.220208721248015,0.000226588354052465,1.00791458258665e-07
76,"38721","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.219982082151512,0.000226690185672519,1.02871781849109e-07
77,"39331","Pnma8a","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.219755340183228,0.000226794097616164,1.04952105439553e-07
78,"39595","Snrpd2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.219528493262839,0.000226900089883398,1.07032429029996e-07
79,"39796","Zfp112","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.21930153931002,0.000227008162474224,1.0911275262044e-07
80,"40151","Lipe","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.219074476244449,0.000227118315388639,1.11193076210884e-07
81,"40413","RGD1307554","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.218847301985802,0.000227230548626645,1.13273399801328e-07
82,"40563","Eid2","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.218620014453755,0.000227344862188242,1.15353723391772e-07
83,"40736","Lgals7","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.218392611567984,0.000227461256073429,1.17434046982215e-07
84,"40899","Zfp74","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.218165091248167,0.000227579730282206,1.19514370572659e-07
85,"41545","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.217937451413979,0.000227700284814574,1.21594694163103e-07
86,"41573","LOC102548231","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.217709689985096,0.000227822919670532,1.23675017753547e-07
87,"41750","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.217481804881196,0.000227947634850081,1.25755341343991e-07
88,"42152","Kcnc3","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.217253794021955,0.000228074430353221,1.27835664934434e-07
89,"42185","-","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.217025655327049,0.00022820330617995,1.29915988524878e-07
90,"42458","Lmtk3","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.216797386716154,0.00022833426233027,1.31996312115322e-07
91,"43619","Tubgcp5","middle",0,0,0,0,0,NA,0,0,NA,0,0.166577227875144,-0.216568986108947,0.000228467298804181,1.34076635705766e-07
