"dense_rank","dense_smooth_log1p_empirical_variance","dense_d2"
1,-0.368910002422062,-8.19495144113629e-08
1.24999409574342,-0.368796745665111,-8.11470928577062e-08
1.49998819148685,-0.368683493979614,-8.03446713040494e-08
1.74998228723027,-0.368570247315421,-7.95422497503927e-08
1.9999763829737,-0.368457005622385,-7.87398281967359e-08
2.24997047871712,-0.368343768850355,-7.79374066430792e-08
2.49996457446055,-0.368230536949183,-7.71349850894225e-08
2.74995867020397,-0.36811730986872,-7.63325635357657e-08
2.9999527659474,-0.368004087558817,-7.5530141982109e-08
3.24994686169082,-0.367890869969325,-7.47277204284523e-08
3.49994095743425,-0.367777657050095,-7.39252988747956e-08
3.74993505317767,-0.367664448750977,-7.31228773211388e-08
3.9999291489211,-0.367551245021824,-7.23204557674821e-08
4.24992324466452,-0.367438045812485,-7.15180342138253e-08
4.49991734040795,-0.367324851072813,-7.07156126601686e-08
4.74991143615137,-0.367211660752657,-6.99131911065119e-08
4.99990553189479,-0.36709847480187,-6.91107695528551e-08
5.24989962763822,-0.366985293170302,-6.83083479991984e-08
5.49989372338164,-0.366872115807804,-6.75059264455417e-08
5.74988781912507,-0.366758942664226,-6.67035048918849e-08
5.99988191486849,-0.366645773689422,-6.59010833382282e-08
6.24987601061192,-0.36653260883324,-6.50986617845715e-08
6.49987010635534,-0.366419448045532,-6.42962402309147e-08
6.74986420209877,-0.36630629127615,-6.3493818677258e-08
6.99985829784219,-0.366193138474944,-6.26913971236013e-08
7.24985239358562,-0.366079989591765,-6.18889755699445e-08
7.49984648932904,-0.365966844576464,-6.10865540162878e-08
7.74984058507246,-0.365853703378893,-6.02841324626311e-08
7.99983468081589,-0.365740565948902,-5.94817109089743e-08
8.24982877655932,-0.365627432236342,-5.86792893553176e-08
8.49982287230274,-0.365514302191065,-5.78768678016609e-08
8.74981696804616,-0.365401175762921,-5.70744462480041e-08
8.99981106378959,-0.365288052901762,-5.62720246943474e-08
9.24980515953301,-0.365174933557437,-5.54696031406906e-08
9.49979925527644,-0.3650618176798,-5.46671815870339e-08
9.74979335101986,-0.3649487052187,-5.38647600333772e-08
9.99978744676329,-0.364835596123988,-5.30623384797205e-08
10.2497815425067,-0.364722490345516,-5.22599169260637e-08
10.4997756382501,-0.364609387833134,-5.1457495372407e-08
10.7497697339936,-0.364496288536694,-5.06550738187503e-08
10.999763829737,-0.364383192406046,-4.98526522650935e-08
11.2497579254804,-0.364270099391042,-4.90502307114368e-08
11.4997520212238,-0.364157009441533,-4.82478091577801e-08
11.7497461169673,-0.364043922507369,-4.74453876041227e-08
11.9997402127107,-0.363930838538403,-4.66429660504666e-08
12.2497343084541,-0.363817757484483,-4.58405444968099e-08
12.4997284041975,-0.363704679295463,-4.50381229431531e-08
12.749722499941,-0.363591603921192,-4.42357013894964e-08
12.9997165956844,-0.363478531311521,-4.34332798358397e-08
13.2497106914278,-0.363365461416303,-4.26308582821829e-08
13.4997047871712,-0.363252394185388,-4.18284367285262e-08
13.7496988829147,-0.363139329568626,-4.10260151748695e-08
13.9996929786581,-0.363026267515869,-4.02235936212127e-08
14.2496870744015,-0.362913207976968,-3.9421172067556e-08
14.4996811701449,-0.362800150901773,-3.86187505138993e-08
14.7496752658884,-0.362687096240137,-3.78163289602425e-08
14.9996693616318,-0.36257404394191,-3.70139074065858e-08
15.2496634573752,-0.362460993956942,-3.62114858529291e-08
15.4996575531186,-0.362347946235086,-3.54090642992723e-08
15.7496516488621,-0.362234900726192,-3.46066427456169e-08
15.9996457446055,-0.36212185738011,-3.38042211919589e-08
16.2496398403489,-0.362008816146693,-3.30017996383021e-08
16.4996339360923,-0.36189577697579,-3.21993780846454e-08
16.7496280318358,-0.361782739817254,-3.13969565309887e-08
