"comparison","n_features","control_cutoff_percentile","control_cutoff_rank","treatment_cutoff_percentile","treatment_cutoff_rank","cutoff_range_percentile_min","cutoff_range_percentile_max","cutoff_range_rank_min","cutoff_range_rank_max"
"RT0_ZT6",31553,0.01,316,0.01,316,0.01,0.01,316,316
"RT2_ZT8",31534,0.01,315,0.01,315,0.01,0.01,315,315
"RT4_ZT10",31658,0.01,317,0.01,317,0.01,0.01,317,317
"RT8_ZT14",31580,0.01,316,0.01,316,0.01,0.01,316,316
