"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","alpha_mu","log_alpha_mu","log_mu","log_alpha"
"534198","-",1,0.0273190211431688,33.2,2074.7,1.85213746552475,61.4909638554217,4.11889023483719,3.50254987592244,0.616340358914744
"18321","Thrsp",2,0.026654778203785,43.6,1638.3,0.838891928288865,36.5756880733945,3.59938375939894,3.77505715035499,-0.175673390956051
"35860","-",3,0.0261292853779241,31,1634,1.66805411030177,51.7096774193548,3.94564494812441,3.43398720448515,0.51165774363926
"208999","-",4,0.025780494500883,29,1525.5,1.7794292508918,51.6034482758621,3.94358849730628,3.36729582998647,0.576292667319806
"354681","Macrod2",5,0.0240926826287922,26.4,666.3,0.918130165289256,24.2386363636364,3.18794790399314,3.27336401015227,-0.0854161061591263
"433098","Cap1",6,0.02400969033484,467,702293.5,3.21807381390166,1502.84047109208,7.31511224379506,6.1463292576689,1.16878298612616
"270602","-",7,0.0239046075302064,24.6,633.8,1.00667592041774,24.7642276422764,3.20940017808269,3.20274644293832,0.0066537351443722
"494843","-",8,0.0238012965148471,22.6,578.3,1.08798652987705,24.5884955752212,3.20227867400764,3.11794990627824,0.0843287677293949
"284696","-",9,0.023731844693754,81.6,13905.3,2.07607951268743,169.408088235294,5.13231052744941,4.40182926197006,0.730481265479347
"299208","-",10,0.0234724716211367,21.6,610.8,1.26286008230453,27.2777777777778,3.30607236989836,3.07269331469012,0.233379055208236
"377956","Ptms",11,0.0233601877461296,80,11226,1.7415625,139.325,4.9368093334556,4.38202663467388,0.554782698781718
"465508","Kcnk13",12,0.0233395548404402,22.2,482.7,0.934380326272218,20.7432432432432,3.03222056681713,3.10009228887823,-0.0678717220611059
"73573","Psmd11",13,0.0231461746520125,21,512,1.11337868480726,23.3809523809524,3.1519216900711,3.04452243772342,0.107399252347675
"275669","-",14,0.0231376760566793,22.2,645.2,1.26410193977762,28.0630630630631,3.33445422990922,3.10009228887823,0.234361941030986
"435225","Dhdds",15,0.022947899763635,44.8,1781.7,0.86540377869898,38.7700892857143,3.65764905463903,3.80220813942094,-0.144559084781912
"86595","-",16,0.022520270568863,17.8,1070.2,3.32155030930438,59.123595505618,4.0796300918681,2.87919845729804,1.20043163457006
"104836","Lsamp",17,0.0223936402290261,17,477,1.5916955017301,27.0588235294118,3.29801314542692,2.83321334405622,0.464799801370708
"180115","-",18,0.022229472032935,17,373,1.2318339100346,20.9411764705882,3.04171738679581,2.83321334405622,0.208504042739598
"212124","Arhgef10",19,0.0222207140407681,16.4,406.3,1.44965794170137,23.7743902439024,3.1686089611584,2.79728133483015,0.371327626328246
"411736","-",20,0.0221862789765894,16.2,417.2,1.52796829751562,24.7530864197531,3.20895018506823,2.78501124223834,0.423938942829892
"2591","LOC120098884",21,0.0220892563725477,15.8,456.2,1.76414036212145,27.873417721519,3.3276734648156,2.76000994003292,0.567663524782683
"286858","Arsb",22,0.0220836589418961,16.8,369.2,1.24858276643991,20.9761904761905,3.04338800765281,2.82137888640921,0.222009121243598
"146021","LOC108352533",23,0.0220836238702608,28.8,1261.7,1.48642457561728,42.8090277777778,3.75674900973261,3.3603753871419,0.396373622590707
"508357","Ptpn9",24,0.022081246173559,17.2,317.7,1.01575175770687,17.4709302325581,2.86053837015585,2.84490938381941,0.0156289863364476
"176730","Rnf17",25,0.0220625361983449,17.8,314.2,0.935487943441484,16.6516853932584,2.81251143612389,2.87919845729804,-0.0666870211741473
"416922","-",26,0.0220141424910461,77.6,20367.3,3.36939698692741,261.465206185567,5.56630121991271,4.35156742718917,1.21473379272353
"18057","LOC100361001",27,0.0217527596421047,15.8,746.2,2.92581317096619,46.2278481012658,3.83358238924784,2.76000994003292,1.07357244921492
"415735","Atp5if1",28,0.0216707595946332,43.6,4027.3,2.095625368235,91.3692660550459,4.5149091643094,3.77505715035499,0.739852013954414
"157795","-",29,0.0215856954784507,79.2,11661.7,1.84651119783696,146.243686868687,4.98527431847042,4.37197629882038,0.613298019650043
"330098","-",30,0.0215811399024141,15.2,355.2,1.47160664819945,22.3684210526316,3.10765018975798,2.72129542785223,0.386354761905746
"561147","RGD1566100",31,0.0215573050136483,16.8,280.7,0.935019841269841,15.7083333333333,2.75419135710007,2.82137888640921,-0.0671875293091482
"182412","-",32,0.0215253514905692,15.8,269.2,1.01506168883192,16.0379746835443,2.77495932785412,2.76000994003292,0.0149493878211962
"128848","-",33,0.0213414706757507,13.2,367.2,2.03168044077135,26.8181818181818,3.28908008354145,2.58021682959233,0.708863253949124
"56517","LOC689961",34,0.0212004422197372,19.6,352.8,0.86734693877551,17,2.83321334405622,2.97552956623647,-0.142316222180256
"577504","-",35,0.0211787781959803,32.2,985.2,0.919138922109486,29.5962732919255,3.38764845110384,3.47196645255036,-0.0843180014465233
