"feature_id","ctrl_abs_loading","trt_abs_loading","rank_ctrl","rank_trt","mu_ctrl","mu_trt","var_ctrl","var_trt","alpha_emp_ctrl","alpha_emp_trt","alpha_mu_ctrl","alpha_mu_trt","log_alpha_mu_ctrl","log_alpha_mu_trt","gene_symbol"
"20",0.0114142662330536,0.0110269056870457,1762,674,2.6,8.4,33.8,90.3,4.61538461538461,1.16071428571429,12,9.75,2.484906649788,2.27726728500976,"-"
"25",0.00272186839759801,0.000538903453766287,17783,30489,20.4,10.6,194.3,36.3,0.417868127643214,0.22872908508366,8.52450980392157,2.42452830188679,2.14294552051007,0.885636990783153,"-"
"31",0.00188063790514546,0.00220468632651933,21416,26654,24.8,45.6,135.2,166.3,0.179500520291363,0.0580467066789782,4.45161290322581,2.6469298245614,1.49326648067206,0.973400411583145,"Pcmt1"
"35",0.00327474190296536,0.00430970722932612,15684,18031,111.2,179.6,1846.2,7351.8,0.140310413539672,0.222351327622383,15.6025179856115,39.93429844098,2.74743231056448,3.68723556469232,"Pcmt1"
"37",0.00134804516282786,0.00352102376974599,24088,21819,97.8,167,1338.7,6346.5,0.129735573203525,0.22157481444297,12.6881390593047,37.002994011976,2.5406676247398,3.61099882861304,"Pcmt1"
"38",0.00406503195239563,0.00427729827167273,12745,18172,37.4,55.8,188.3,743.2,0.107881266264406,0.220770545085495,4.03475935828877,12.3189964157706,1.39494666135332,2.51114249502847,"Pcmt1"
"89",0.00484690389431006,0.0039962699715173,10366,19648,42,73.2,345,1281.7,0.171768707482993,0.225540475977187,7.21428571428571,16.5095628415301,1.976063187226,2.80393977917627,"Tab2"
"90",0.000178629708522703,0.00446951470791583,29235,17168,12.8,31,3.7,357.5,-0.0555419921875,0.339750260145682,-0.7109375,10.5322580645161,NA,2.35444274423134,"Tab2"
"143",0.000502519618453187,0.00513189204972517,27889,13838,8.2,32.6,20.7,297.3,0.185901249256395,0.249068463246641,1.52439024390244,8.11963190184049,0.421594490038048,2.09428482086039,"Ust"
"214",0,0.000618744339082173,29910,30338,0,3.8,0,16.2,NA,0.858725761772853,NA,3.26315789473684,NA,1.18269540587865,"LOC365036"
"224",0.000724965789953439,0.00395643241160734,26961,19821,41.2,55.6,67.7,1035.3,0.0156117447450278,0.316915532322344,0.643203883495146,17.6205035971223,-0.441293523363304,2.86906320109406,"Sash1"
"304",0.00731891132812865,0.00230639348549688,5878,26281,1.4,6.4,3.8,10.8,1.22448979591837,0.107421875,1.71428571428571,0.6875,0.538996500732687,-0.374693449441411,"Sash1"
"576",0.00955577953491304,0.00797906647154662,3247,4233,2.6,3.6,13.8,14.3,1.65680473372781,0.825617283950617,4.30769230769231,2.97222222222222,1.46040233327361,1.0893098960058,"-"
"615",0.00745379331418747,0.00622752398338399,5694,9145,2.8,3.6,8.7,24.3,0.752551020408163,1.59722222222222,2.10714285714286,5.75,0.745332933730516,1.74919985480926,"-"
"672",0,0.00815672951498686,29911,3906,0,3.6,0,12.3,NA,0.671296296296296,NA,2.41666666666667,NA,0.882389180198474,"-"
"673",0.00696102832323499,0.00583677474401406,6416,10723,0.8,5.6,3.2,27.3,3.75,0.691964285714286,3,3.875,1.09861228866811,1.35454566280531,"-"
"708",0.00471396924317502,0.0058989351545902,10965,10451,11.6,10.2,35.3,55.2,0.176129607609988,0.432525951557093,2.04310344827586,4.41176470588235,0.714469950028766,1.48427476948009,"-"
"774",0.0078886998126374,0.0109950408081773,5158,690,2.4,10.2,15.3,210.2,2.23958333333333,1.92233756247597,5.375,19.6078431372549,1.68175857401373,2.97592964625781,"-"
"829",0.00371877223053324,0.00469603890416161,14056,16032,3.4,4.2,16.8,20.7,1.15916955017301,0.935374149659864,3.94117647058824,3.92857142857143,1.37147927533475,1.36827585561721,"-"
"833",0.0080652709067978,0.00327203298215269,4963,22789,7.4,5.8,70.8,18.7,1.15777940102264,0.383472057074911,8.56756756756757,2.22413793103448,2.14798386123306,0.799369393815253,"Stxbp5"
"842",0.00594034104870723,0.00450716289393679,8278,16994,36.8,41.6,487.7,507.8,0.332954276937618,0.269392566568047,12.2527173913043,11.2067307692308,2.50574774025215,2.41651455933444,"Stxbp5"
"845",0.00154607304831786,0.00629709770896365,22968,8866,2.2,5.4,4.2,23.3,0.413223140495868,0.613854595336077,0.909090909090909,3.31481481481481,-0.0953101798043249,1.19840175927648,"Stxbp5"
"926",0.00132300789032415,0.00227795709080313,24179,26467,0.8,5.8,3.2,16.7,3.75,0.324019024970273,3,1.87931034482759,1.09861228866811,0.630904871682724,"-"
"964",0.0141611938666351,0.00650465791133596,598,8137,5.6,9.8,59.3,76.2,1.71237244897959,0.691378592253228,9.58928571428571,6.77551020408163,2.26064640377372,1.91331467080586,"-"
"969",0.00696102832323499,0.0103981586169965,6417,1117,0.8,6.6,3.2,42.8,3.75,0.831037649219467,3,5.48484848484848,1.09861228866811,1.70198946979935,"LOC120098778"
"984",0.00373925964032525,0.0074871719155548,13719,5330,8.6,31.6,29.3,583.3,0.279881016765819,0.552495593654863,2.40697674418605,17.4588607594937,0.878371497011861,2.85984729968552,"Grm1"
"986",0,0.00922522029391748,29912,2223,0,5.4,0,36.8,NA,1.07681755829904,NA,5.81481481481481,NA,1.76040893934398,"Grm1"
"1106",0.0165993463917009,0.0039553228750352,218,19825,8.4,14.4,66.8,88.3,0.827664399092971,0.356385030864197,6.95238095238095,5.13194444444444,1.93908418398491,1.6354846213722,"-"
"1110",0,0.00213320330473268,29913,26816,0,0.6,0,1.8,NA,3.33333333333333,NA,2,NA,0.693147180559946,"Epm2a"
"1132",0.00132300789032415,0.0028280034082496,24180,24477,0.8,4.2,3.2,21.2,3.75,0.963718820861678,3,4.04761904761905,1.09861228866811,1.39812881876689,"-"
"1137",0.0041294248548684,0.00469384706957148,12580,16041,55.2,127.6,525.7,5225.3,0.154412150808654,0.313092687768399,8.52355072463768,39.9506269592476,2.14283300574238,3.68764436568733,"Utrn"
"1138",0.00430253892508996,0.00973887191428664,12118,1682,3.2,11.4,21.2,96.3,1.7578125,0.653277931671283,5.625,7.44736842105263,1.72722094809048,2.00786073791685,"Utrn"
"1272",0.0142926662266238,0.00821793217625792,570,3788,10.6,8.4,100.3,150.3,0.798326806692773,2.01105442176871,8.4622641509434,16.8928571428571,2.13561676794673,2.82689087831673,"-"
"1282",0.00212990766211883,0.0137725698724989,20375,53,7.8,15.8,13.7,285.2,0.0969756738987508,1.0791539817337,0.756410256410256,17.0506329113924,-0.279171382783872,2.83618732394334,"Ltv1"
"1293",0.000120033749325268,0.00275892998808507,29474,24744,6.6,18.6,2.3,205.3,-0.0987144168962351,0.539657763903341,-0.651515151515151,10.0376344086022,NA,2.30634146982852,"Phactr2"
"1295",0.00588436172551255,0.00418875156728432,8378,18653,15.6,26.6,104.8,259.3,0.366535174227482,0.328876703035785,5.71794871794872,8.74812030075188,1.74361012533047,2.16883885452059,"Phactr2"
"1345",0.00401048355378363,0.00674801565789784,12871,7379,1.6,5.8,5.3,22.7,1.4453125,0.502378121284185,2.3125,2.91379310344828,0.838329190404443,1.06945570437665,"Pex3"
"1346",0.00135706780658156,0.00192766119848441,24060,27587,8.4,15.6,6.8,21.3,-0.0226757369614513,0.023422090729783,-0.190476190476191,0.365384615384615,NA,-1.00680473941499,"Pex3"
"1367",0.00190477076743882,0.00456039705878838,21316,16705,198.6,444,4804.3,49954,0.116771580317002,0.251146416686957,23.1908358509567,111.509009009009,3.1437571942124,4.71410538592324,"Aig1"
"1369",0.00102755742763621,0.00412749075927841,25806,18974,8.8,15,8.7,88.5,-0.00129132231404961,0.326666666666667,-0.0113636363636365,4.9,NA,1.58923520511658,"Aig1"
