"feature_id","gene_symbol","rank","abs_loading","mu","variance","alpha","nb1","nb2","alpha_mu","log_variance","log_mu","log_alpha","log_nb1","log_nb2","log_alpha_mu"
"5091","Prkn",1,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"7312","Lair1",2,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"7636","Peli1-ps1",3,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"7955","Fkrp",4,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"9908","Psenen",5,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"12336","Cyfip1",6,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"15183","-",7,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"17644","-",8,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"19727","Dennd2b",9,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"24391","Ccnd1",10,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"24944","Npas4",11,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"30561","Sorcs1",12,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"32323","Plagl1",13,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"37050","Sft2d1",14,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"38204","Peg3",15,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"38230","Peg3",16,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"38281","Zfp583",17,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"41100","U2af1l4",18,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"44116","Ube3a",19,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"45293","-",20,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"49195","-",21,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"49779","Pgm2l1",22,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"50560","-",23,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"54742","Ppp2r2d",24,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"55981","Sptbn2",25,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"56261","LOC120097382",26,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"57848","LOC102554959",27,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"59667","-",28,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"59804","Tnks2",29,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"62174","Vti1a",30,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"62330","Tcf7l2",31,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"66062","Nsg2",32,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"70033","Shmt1",33,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"71027","Myh8",34,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"71677","-",35,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"71688","Pelp1",36,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"71789","-",37,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"71934","Pitpnm3",38,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"76292","Ttll6",39,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"77109","Krt15",40,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"78544","Tanc2",41,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"79891","Fam104a",42,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"79977","Sdk2",43,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
"80927","Rbfox3",44,0,0,0,NA,0,0,NA,0,NA,NA,0,0,NA
